valeur	compte	part
293373	16	0.006421
311708	16	0.006421
330044	16	0.006421
348380	16	0.006421
366716	16	0.006421
385051	16	0.006421
403387	16	0.006421
412555	16	0.006421
1003882	8	0.003210
1008466	8	0.003210
1013050	8	0.003210
1017634	8	0.003210
1022218	8	0.003210
1026802	8	0.003210
1031386	8	0.003210
1035970	8	0.003210
1040554	8	0.003210
1045138	8	0.003210
1049722	8	0.003210
1054306	8	0.003210
1058890	8	0.003210
1063474	8	0.003210
1068058	8	0.003210
1072641	8	0.003210
1077225	8	0.003210
1081809	8	0.003210
1086393	8	0.003210
1090977	8	0.003210
1095561	8	0.003210
1100145	8	0.003210
1104729	8	0.003210
1109313	8	0.003210
1113897	8	0.003210
1118481	8	0.003210
1123065	8	0.003210
1127649	8	0.003210
1132233	8	0.003210
1136817	8	0.003210
1141400	8	0.003210
1145984	8	0.003210
1150568	8	0.003210
1155152	8	0.003210
1159736	8	0.003210
1164320	8	0.003210
1168904	8	0.003210
1173488	8	0.003210
1178072	8	0.003210
1182656	8	0.003210
1187240	8	0.003210
1191824	8	0.003210
1196408	8	0.003210
1200992	8	0.003210
1205576	8	0.003210
1210160	8	0.003210
1214743	8	0.003210
1219327	8	0.003210
1223911	8	0.003210
1228495	8	0.003210
1233079	8	0.003210
1237663	8	0.003210
1242247	8	0.003210
1246831	8	0.003210
1251415	8	0.003210
1255999	8	0.003210
1260583	8	0.003210
1265167	8	0.003210
1269751	8	0.003210
1274334	8	0.003210
1278918	8	0.003210
1283502	8	0.003210
1288086	8	0.003210
1292670	8	0.003210
1297254	8	0.003210
1301838	8	0.003210
1306422	8	0.003210
1311006	8	0.003210
1315590	8	0.003210
1320174	8	0.003210
1324758	8	0.003210
1329342	8	0.003210
1333926	8	0.003210
1338510	8	0.003210
1343094	8	0.003210
1347677	8	0.003210
1352261	8	0.003210
1356845	8	0.003210
1361429	8	0.003210
1366013	8	0.003210
1370597	8	0.003210
1375181	8	0.003210
1375182	8	0.003210
1379765	8	0.003210
1379766	8	0.003210
1384349	8	0.003210
1384350	8	0.003210
