decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
3	0.000000	0.000000	0.000000	0.003077	0.000000	0.086957	9	325
4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.173913	9	325
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
16	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
18	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
19	0.000000	0.000000	0.000000	0.006154	0.000000	0.000000	9	325
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
22	0.000000	0.000000	0.250000	0.003077	0.000000	0.043478	9	325
23	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
24	0.000000	0.000000	0.000000	0.929231	0.840000	0.000000	9	325
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
28	0.000000	0.000000	0.000000	0.006154	0.000000	0.000000	9	325
29	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
30	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
31	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
32	0.000000	0.000000	0.000000	0.021538	0.000000	0.000000	9	325
33	0.000000	0.000000	0.250000	0.000000	0.000000	0.043478	9	325
34	0.000000	0.000000	0.250000	0.003077	0.000000	0.000000	9	325
35	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
36	0.000000	0.000000	0.000000	0.021538	0.000000	0.000000	9	325
37	0.000000	0.000000	0.000000	0.021538	0.000000	0.000000	9	325
38	0.111111	0.000000	0.000000	0.000000	0.000000	0.086957	9	325
39	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.217391	9	325
41	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
42	0.000000	0.000000	0.000000	0.030769	0.000000	0.000000	9	325
43	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
44	0.000000	0.000000	0.000000	0.064615	0.000000	0.000000	9	325
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
46	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
47	0.222222	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
48	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
49	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
51	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
52	0.000000	0.000000	0.000000	0.012308	0.000000	0.000000	9	325
53	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
54	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
56	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
57	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
58	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
59	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
61	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
62	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
63	0.111111	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
64	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
65	0.000000	0.000000	0.000000	0.009231	0.000000	0.000000	9	325
66	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
67	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
68	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
69	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
70	0.000000	0.000000	0.000000	0.009231	0.000000	0.086957	9	325
71	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
72	0.000000	0.000000	0.000000	0.006154	0.000000	0.000000	9	325
73	0.000000	0.000000	0.250000	0.003077	0.000000	0.000000	9	325
74	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
75	0.000000	0.000000	0.000000	0.809231	0.720000	0.000000	9	325
76	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
77	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
78	0.111111	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
79	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
80	0.000000	0.000000	0.000000	0.003077	0.000000	0.043478	9	325
81	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	9	325
82	0.000000	0.000000	0.000000	0.003077	0.000000	0.043478	9	325
83	0.000000	0.000000	0.000000	0.021538	0.000000	0.000000	9	325
84	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
86	0.000000	0.000000	0.000000	0.006154	0.000000	0.000000	9	325
87	0.000000	0.000000	0.000000	0.021538	0.000000	0.043478	9	325
88	0.000000	0.000000	0.000000	0.018462	0.000000	0.043478	9	325
89	0.000000	0.000000	0.000000	0.006154	0.000000	0.000000	9	325
90	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
91	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
92	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
93	0.000000	0.000000	0.000000	0.030769	0.000000	0.000000	9	325
94	0.000000	0.000000	0.000000	0.006154	0.000000	0.000000	9	325
95	0.000000	0.000000	0.000000	0.058462	0.000000	0.000000	9	325
96	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
97	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
98	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
99	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
100	0.000000	0.000000	0.000000	0.003077	0.000000	0.086957	9	325
101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
102	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
103	0.000000	0.000000	0.000000	0.012308	0.000000	0.000000	9	325
104	0.222222	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
105	0.000000	0.000000	0.000000	0.009231	0.000000	0.000000	9	325
106	0.000000	0.000000	0.000000	0.006154	0.000000	0.000000	9	325
107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
108	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
109	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
110	0.222222	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9	325
112	0.000000	0.000000	0.000000	0.003077	0.000000	0.000000	9	325
