decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.845892	0.000000	0.000000	0.000000	0.000000	0.000000	6463	346
2	0.000000	0.000000	0.000000	0.002890	0.000000	0.000000	6463	346
3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	346
4	0.000155	0.000000	0.000000	0.000000	0.000000	0.000000	6463	346
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	346
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.017857	6463	346
7	0.000000	0.000000	0.000000	0.005780	0.000000	0.000000	6463	346
8	0.000000	0.000000	0.000000	0.002890	0.000000	0.000000	6463	346
9	0.000000	0.000000	0.000000	0.008721	0.000000	0.017857	6463	344
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
13	0.000000	0.000000	0.000000	0.000000	0.000000	0.392857	6463	344
14	0.000000	0.000000	0.000000	0.040698	0.000000	0.000000	6463	344
15	0.000155	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
16	0.000000	0.000000	0.000000	0.008721	0.002907	0.000000	6463	344
17	0.000000	0.000000	0.000000	0.005814	0.000000	0.000000	6463	344
18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
19	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
20	0.010521	0.000000	0.250000	0.000000	0.000000	0.000000	6463	344
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.017857	6463	344
22	0.002476	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
23	0.003868	0.000000	0.000000	0.000000	0.000000	0.053571	6463	344
24	0.001547	0.000000	0.000000	0.869186	0.741279	0.000000	6463	344
25	0.001393	0.000000	0.250000	0.000000	0.000000	0.000000	6463	344
26	0.004178	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
28	0.004332	0.000000	0.000000	0.000000	0.000000	0.714286	6463	344
29	0.008974	0.000309	0.000000	0.002907	0.000000	0.017857	6463	344
30	0.000928	0.000000	0.250000	0.000000	0.000000	0.000000	6463	344
31	0.000155	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
32	0.007272	0.000774	0.000000	0.000000	0.000000	0.000000	6463	344
33	0.002476	0.000309	0.000000	0.000000	0.000000	0.000000	6463	344
34	0.004951	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
35	0.003713	0.000000	0.250000	0.002907	0.000000	0.000000	6463	344
36	0.001857	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
37	0.009438	0.000309	0.000000	0.055233	0.000000	0.000000	6463	344
38	0.009903	0.000464	0.000000	0.000000	0.000000	0.000000	6463	344
39	0.000155	0.000000	0.000000	0.000000	0.000000	0.000000	6463	344
40	0.006808	0.000000	0.000000	0.000000	0.000000	0.000000	6463	343
41	0.004332	0.000000	0.000000	0.000000	0.000000	0.036364	6463	342
42	0.000619	0.000000	0.000000	0.026316	0.000000	0.000000	6463	342
43	0.000000	0.000000	0.000000	0.011696	0.000000	0.036364	6463	342
44	0.000000	0.000000	0.000000	0.032164	0.000000	0.018182	6463	342
45	0.652329	0.000464	0.000000	0.000000	0.000000	0.000000	6463	342
46	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	342
47	0.000464	0.000000	0.000000	0.000000	0.000000	0.018182	6463	342
48	0.004332	0.000000	0.000000	0.000000	0.000000	0.036364	6463	342
49	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	342
50	0.003095	0.000000	0.000000	0.000000	0.000000	0.000000	6463	342
51	0.002011	0.000000	0.000000	0.002924	0.000000	0.000000	6463	342
52	0.005106	0.000000	0.000000	0.002924	0.000000	0.000000	6463	342
53	0.000155	0.000000	0.000000	0.000000	0.000000	0.000000	6463	342
54	0.000619	0.000000	0.000000	0.002924	0.000000	0.000000	6463	342
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	342
56	0.005880	0.000000	0.000000	0.000000	0.000000	0.000000	6463	342
57	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	342
58	0.149311	0.000000	0.000000	0.000000	0.000000	0.036364	6463	342
59	0.000000	0.000000	0.000000	0.017544	0.000000	0.000000	6463	342
60	0.004332	0.000000	0.000000	0.000000	0.000000	0.018182	6463	340
61	0.000155	0.000000	0.000000	0.000000	0.000000	0.000000	6463	340
62	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6463	340
63	0.165094	0.000000	0.000000	0.000000	0.000000	0.018182	6463	340
64	0.006034	0.000000	0.000000	0.000000	0.000000	0.000000	6463	340
65	0.010831	0.000000	0.000000	0.029412	0.000000	0.000000	6463	340
66	0.005106	0.000000	0.000000	0.000000	0.000000	0.018519	6463	340
67	0.003095	0.000619	0.000000	0.000000	0.000000	0.000000	6463	340
