decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.716051	0.000000	0.000000	0.000000	0.000000	0.000000	9794	317
2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	317
3	0.000000	0.000000	0.000000	0.000000	0.000000	0.050000	9794	317
4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	317
5	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	9794	317
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	317
7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	315
8	0.000000	0.000000	0.066667	0.000000	0.000000	0.000000	9794	315
9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.050000	9794	309
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
13	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
15	0.000102	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
17	0.000000	0.000000	0.000000	0.003236	0.000000	0.000000	9794	309
18	0.000000	0.000000	0.000000	0.003236	0.000000	0.000000	9794	309
19	0.000000	0.000000	0.000000	0.025890	0.000000	0.000000	9794	309
20	0.011538	0.000204	0.000000	0.000000	0.000000	0.025000	9794	309
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.025000	9794	309
22	0.005718	0.000919	0.000000	0.000000	0.000000	0.000000	9794	309
23	0.002042	0.000000	0.000000	0.000000	0.000000	0.025000	9794	309
24	0.002655	0.000000	0.000000	0.983819	0.883495	0.000000	9794	309
25	0.002655	0.000000	0.000000	0.000000	0.000000	0.025000	9794	309
26	0.003676	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
27	0.000102	0.000000	0.000000	0.000000	0.000000	0.000000	9794	309
28	0.007249	0.000000	0.000000	0.000000	0.000000	0.000000	9794	308
29	0.028385	0.000102	0.000000	0.000000	0.000000	0.050000	9794	308
30	0.005003	0.000000	0.000000	0.000000	0.000000	0.000000	9794	308
