decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.000000	0.000000	0.500000	0.000000	0.000000	0.000000	670	4867
2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	670	4867
3	0.037369	0.000000	0.000000	0.000000	0.000000	0.038462	669	4867
4	0.001495	0.000000	0.000000	0.010068	0.000411	0.000000	669	4867
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.076923	669	4867
6	0.002990	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
7	0.004484	0.000000	0.000000	0.001644	0.000205	0.000000	669	4867
8	0.001495	0.000000	0.000000	0.002055	0.000000	0.000000	669	4867
9	0.000000	0.000000	0.000000	0.000822	0.000000	0.000000	669	4867
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.076923	669	4867
11	0.002990	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
12	0.011958	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
13	0.046338	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
15	0.004484	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
16	0.000000	0.000000	0.000000	0.003493	0.000000	0.000000	669	4867
17	0.002990	0.000000	0.000000	0.000822	0.000000	0.000000	669	4867
18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
19	0.000000	0.000000	0.000000	0.014794	0.001644	0.000000	669	4867
20	0.659193	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
22	0.000000	0.000000	0.000000	0.000000	0.000000	0.038462	669	4867
23	0.008969	0.000000	0.000000	0.000000	0.000000	0.038462	669	4867
24	0.000000	0.000000	0.000000	0.944730	0.874050	0.000000	669	4867
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
26	0.011958	0.000000	0.500000	0.000000	0.000000	0.000000	669	4867
27	0.001495	0.000000	0.000000	0.000205	0.000000	0.000000	669	4867
28	0.001495	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
30	0.008969	0.000000	0.000000	0.000205	0.000000	0.000000	669	4867
31	0.014948	0.000000	0.000000	0.002671	0.000000	0.000000	669	4867
32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
33	0.058296	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
34	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
35	0.010463	0.000000	0.000000	0.145469	0.000000	0.153846	669	4867
36	0.001495	0.000000	0.000000	0.113417	0.000000	0.000000	669	4867
37	0.000000	0.000000	0.000000	0.000616	0.000000	0.000000	669	4867
38	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
39	0.001495	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
40	0.010463	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
41	0.014948	0.000000	0.000000	0.000000	0.000000	0.000000	669	4867
42	0.031390	0.000000	0.000000	0.000205	0.000000	0.000000	669	4867
43	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	665	4867
44	0.000000	0.000000	0.000000	0.004109	0.000000	0.000000	665	4867
45	0.024060	0.001504	0.000000	0.002877	0.000000	0.000000	665	4867
46	0.000000	0.000000	0.000000	0.001438	0.000000	0.000000	665	4867
47	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	665	4867
48	0.003008	0.000000	0.000000	0.000000	0.000000	0.000000	665	4867
49	0.009023	0.000000	0.000000	0.009451	0.000000	0.000000	665	4867
50	0.000000	0.000000	0.000000	0.008630	0.000000	0.000000	665	4867
51	0.000000	0.000000	0.000000	0.000616	0.000000	0.000000	665	4867
52	0.004511	0.000000	0.000000	0.000411	0.000000	0.000000	665	4867
53	0.009023	0.000000	0.000000	0.000000	0.000000	0.000000	665	4867
54	0.012030	0.000000	0.000000	0.000205	0.000000	0.038462	665	4867
55	0.007519	0.000000	0.000000	0.008835	0.000411	0.000000	665	4867
56	0.000000	0.000000	0.000000	0.000205	0.000000	0.000000	665	4867
57	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	665	4867
58	0.003008	0.000000	0.000000	0.004315	0.000205	0.000000	665	4867
