decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5591
2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5591
3	0.142857	0.000000	0.000000	0.000179	0.000000	0.000000	14	5591
4	0.000000	0.000000	0.000000	0.014130	0.000000	0.024390	14	5591
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5591
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5591
7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5591
8	0.000000	0.000000	0.000000	0.001431	0.000000	0.000000	14	5591
9	0.000000	0.000000	0.000000	0.000716	0.000179	0.000000	14	5589
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5589
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.024390	14	5589
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5589
13	0.000000	0.000000	0.000000	0.000000	0.000000	0.634146	14	5589
14	0.000000	0.000000	0.000000	0.033459	0.000000	0.024390	14	5589
15	0.285714	0.000000	0.000000	0.010020	0.000000	0.000000	14	5589
16	0.000000	0.000000	0.000000	0.006978	0.000179	0.000000	14	5589
17	0.000000	0.000000	0.000000	0.000358	0.000000	0.000000	14	5589
18	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5589
19	0.000000	0.000000	0.000000	0.008588	0.000000	0.000000	14	5589
20	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5589
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.024390	14	5589
22	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5589
23	0.000000	0.000000	0.000000	0.000000	0.000000	0.073171	14	5589
24	0.000000	0.000000	0.000000	0.941850	0.873680	0.000000	14	5589
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5589
26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5589
27	0.142857	0.000000	0.000000	0.000000	0.000000	0.000000	14	5589
28	0.000000	0.000000	0.000000	0.000000	0.000000	0.634146	14	5589
29	0.000000	0.000000	0.000000	0.000537	0.000000	0.000000	14	5589
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5589
31	0.000000	0.000000	0.037736	0.000000	0.000000	0.000000	14	5589
32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5589
33	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5589
34	0.000000	0.000000	0.000000	0.000000	0.000000	0.024390	14	5589
35	0.000000	0.000000	0.000000	0.067096	0.000000	0.000000	14	5589
36	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5589
