decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8248
2	0.044586	0.000000	0.000000	0.000000	0.000000	0.029412	157	8248
3	0.000000	0.000000	0.000000	0.003031	0.000000	0.000000	157	8248
4	0.000000	0.000000	0.000000	0.007274	0.000000	0.000000	157	8248
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8248
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8247
7	0.000000	0.000000	0.000000	0.000121	0.000000	0.000000	157	8247
8	0.000000	0.000000	0.000000	0.002183	0.000243	0.000000	157	8246
9	0.000000	0.000000	0.000000	0.000850	0.000000	0.000000	157	8240
10	0.197452	0.000000	0.000000	0.000000	0.000000	0.058824	157	8240
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
12	0.000000	0.000000	0.000000	0.000243	0.000000	0.000000	157	8240
13	0.006369	0.000000	0.000000	0.000485	0.000000	0.117647	157	8240
14	0.000000	0.000000	0.000000	0.020510	0.000000	0.000000	157	8240
15	0.000000	0.000000	0.000000	0.000607	0.000000	0.000000	157	8240
16	0.000000	0.000000	0.000000	0.001456	0.000000	0.000000	157	8240
17	0.000000	0.000000	0.000000	0.001214	0.000000	0.000000	157	8240
18	0.006369	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
19	0.000000	0.000000	0.000000	0.001820	0.000000	0.000000	157	8240
20	0.000000	0.000000	0.000000	0.000971	0.000000	0.029412	157	8240
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
22	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
23	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
24	0.000000	0.000000	0.000000	0.947209	0.874150	0.000000	157	8240
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
28	0.000000	0.000000	0.000000	0.000000	0.000000	0.117647	157	8240
29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
30	0.000000	0.000000	0.000000	0.000121	0.000000	0.000000	157	8240
31	0.000000	0.000000	0.000000	0.000000	0.000000	0.029412	157	8240
32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157	8240
