decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13269
2	0.117647	0.000000	0.000000	0.000000	0.000000	0.000000	51	13269
3	0.058824	0.000000	0.014599	0.003090	0.000000	0.057143	51	13269
4	0.000000	0.000000	0.000000	0.014771	0.000000	0.000000	51	13269
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13269
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.014286	51	13269
7	0.019608	0.000000	0.000000	0.000829	0.000000	0.000000	51	13269
8	0.000000	0.000000	0.000000	0.000829	0.000000	0.000000	51	13269
9	0.019608	0.000000	0.000000	0.000528	0.000000	0.000000	51	13267
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
12	0.019608	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
13	0.000000	0.000000	0.000000	0.000000	0.000000	0.557143	51	13267
14	0.019608	0.000000	0.007299	0.032788	0.000000	0.014286	51	13267
15	0.000000	0.000000	0.007299	0.015753	0.000000	0.000000	51	13267
16	0.000000	0.000000	0.000000	0.009497	0.000151	0.014286	51	13267
17	0.000000	0.000000	0.000000	0.001055	0.000075	0.000000	51	13267
18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
19	0.078431	0.000000	0.000000	0.033693	0.000000	0.000000	51	13267
20	0.000000	0.000000	0.000000	0.001281	0.000000	0.000000	51	13267
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.014286	51	13267
22	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
23	0.000000	0.000000	0.000000	0.000000	0.000000	0.014286	51	13267
24	0.078431	0.019608	0.000000	0.938042	0.874048	0.000000	51	13267
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
26	0.000000	0.000000	0.000000	0.000000	0.000000	0.042857	51	13267
27	0.019608	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
28	0.000000	0.000000	0.000000	0.000000	0.000000	0.642857	51	13267
29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
30	0.000000	0.000000	0.000000	0.000528	0.000000	0.000000	51	13267
31	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
33	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
34	0.333333	0.000000	0.007299	0.000000	0.000000	0.028571	51	13267
35	0.000000	0.000000	0.000000	0.076506	0.000000	0.000000	51	13267
36	0.019608	0.000000	0.000000	0.000075	0.000000	0.000000	51	13267
37	0.019608	0.000000	0.000000	0.002186	0.000000	0.014286	51	13267
38	0.000000	0.000000	0.000000	0.000000	0.000000	0.014286	51	13267
39	0.039216	0.000000	0.000000	0.000000	0.000000	0.000000	51	13267
40	0.000000	0.000000	0.007299	0.000075	0.000000	0.000000	51	13266
41	0.000000	0.000000	0.000000	0.000075	0.000000	0.000000	51	13265
42	0.000000	0.000000	0.000000	0.022164	0.000000	0.000000	51	13265
43	0.000000	0.000000	0.000000	0.000000	0.000000	0.014286	51	13265
44	0.000000	0.000000	0.000000	0.000151	0.000000	0.000000	51	13265
45	0.000000	0.000000	0.007299	0.000075	0.000000	0.014286	51	13265
46	0.000000	0.000000	0.000000	0.000000	0.000000	0.014286	51	13265
47	0.000000	0.000000	0.000000	0.000000	0.000000	0.014286	51	13265
48	0.019608	0.000000	0.000000	0.000000	0.000000	0.028571	51	13265
49	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	51	13265
50	0.000000	0.000000	0.000000	0.005729	0.000000	0.000000	51	13265
51	0.000000	0.000000	0.000000	0.000000	0.000000	0.085714	51	13265
