decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.673816	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
2	0.000000	0.000000	0.000000	0.000000	0.000000	0.076923	12263	2453
3	0.000000	0.000000	0.000000	0.003261	0.000000	0.025641	12263	2453
4	0.000000	0.000000	0.000000	0.014268	0.000000	0.000000	12263	2453
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
7	0.000082	0.000000	0.000000	0.004892	0.000000	0.000000	12263	2453
8	0.000000	0.000000	0.000000	0.006115	0.000000	0.000000	12263	2453
9	0.000000	0.000000	0.000000	0.004077	0.000408	0.000000	12263	2453
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.076923	12263	2453
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.025641	12263	2453
12	0.000000	0.000000	0.000000	0.000408	0.000000	0.000000	12263	2453
13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.076923	12263	2453
16	0.000000	0.000000	0.000000	0.009784	0.000000	0.025641	12263	2453
17	0.000000	0.000000	0.000000	0.002854	0.000000	0.025641	12263	2453
18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
19	0.000000	0.000000	0.000000	0.029352	0.000000	0.000000	12263	2453
20	0.005790	0.000326	0.000000	0.000408	0.000000	0.000000	12263	2453
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
22	0.004485	0.000000	0.000000	0.000408	0.000000	0.076923	12263	2453
23	0.002283	0.000000	0.000000	0.000000	0.000000	0.128205	12263	2453
24	0.002120	0.000000	0.000000	0.898899	0.871993	0.025641	12263	2453
25	0.003262	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
26	0.005627	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
27	0.000000	0.000000	0.000000	0.011822	0.000000	0.000000	12263	2453
28	0.002202	0.000000	0.142857	0.000408	0.000000	0.000000	12263	2453
29	0.002528	0.000000	0.000000	0.000000	0.000000	0.000000	12263	2453
