decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.707046	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
2	0.000069	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
3	0.000069	0.000000	0.000000	0.003292	0.000000	0.090909	14405	2430
4	0.000000	0.000000	0.000000	0.011523	0.000000	0.000000	14405	2430
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.030303	14405	2430
6	0.000000	0.000000	0.000000	0.000412	0.000000	0.000000	14405	2430
7	0.000000	0.000000	0.000000	0.003292	0.000000	0.000000	14405	2430
8	0.000000	0.000000	0.076923	0.006996	0.000000	0.000000	14405	2430
9	0.000000	0.000000	0.000000	0.001235	0.000000	0.000000	14405	2430
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.060606	14405	2430
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
13	0.000069	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.030303	14405	2430
16	0.000069	0.000000	0.000000	0.006584	0.000000	0.000000	14405	2430
17	0.000000	0.000000	0.000000	0.002058	0.000000	0.000000	14405	2430
18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
19	0.000000	0.000000	0.000000	0.018519	0.000000	0.000000	14405	2430
20	0.010135	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
21	0.000000	0.000000	0.076923	0.000000	0.000000	0.000000	14405	2430
22	0.004998	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
23	0.002083	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
24	0.001944	0.000000	0.000000	0.904527	0.871193	0.030303	14405	2430
25	0.003332	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
26	0.004859	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
28	0.003124	0.000000	0.000000	0.000412	0.000000	0.030303	14405	2430
29	0.001666	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
30	0.000555	0.000000	0.000000	0.000000	0.000000	0.000000	14405	2430
31	0.000000	0.000000	0.000000	0.000412	0.000000	0.000000	14405	2430
32	0.012079	0.001666	0.000000	0.011111	0.000000	0.000000	14405	2430
