decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
1	0.952647	0.000000	0.000000	0.000000	0.000000	0.000000	4477	365
2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	365
3	0.000000	0.000000	0.125000	0.000000	0.000000	0.000000	4477	365
4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	365
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	364
6	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	4477	364
7	0.000000	0.000000	0.000000	0.005495	0.000000	0.000000	4477	364
8	0.000000	0.000000	0.125000	0.005495	0.000000	0.000000	4477	364
9	0.000000	0.000000	0.000000	0.011204	0.000000	0.000000	4477	357
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.055556	4477	357
13	0.000000	0.000000	0.000000	0.002801	0.000000	0.000000	4477	357
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
16	0.000000	0.000000	0.000000	0.016807	0.000000	0.000000	4477	357
17	0.000223	0.000000	0.000000	0.011204	0.000000	0.000000	4477	357
18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
19	0.000000	0.000000	0.000000	0.005602	0.000000	0.000000	4477	357
20	0.004021	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
22	0.006254	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
23	0.005807	0.000000	0.000000	0.000000	0.000000	0.055556	4477	357
24	0.001340	0.000000	0.000000	0.742297	0.717087	0.000000	4477	357
25	0.000223	0.000000	0.000000	0.000000	0.000000	0.055556	4477	357
26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
27	0.000893	0.000000	0.125000	0.000000	0.000000	0.000000	4477	357
28	0.008488	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
29	0.000000	0.000000	0.000000	0.000000	0.000000	0.055556	4477	357
30	0.000000	0.000000	0.000000	0.005602	0.000000	0.000000	4477	357
31	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
32	0.007818	0.000670	0.000000	0.002801	0.000000	0.000000	4477	357
33	0.000223	0.000000	0.000000	0.000000	0.000000	0.055556	4477	357
34	0.003574	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
35	0.002010	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
36	0.001564	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
37	0.012955	0.000000	0.000000	0.022409	0.000000	0.000000	4477	357
38	0.007371	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
40	0.004244	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
41	0.001117	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
42	0.001117	0.000000	0.000000	0.000000	0.000000	0.055556	4477	357
43	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
44	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4477	357
