short8	match_id	game_variant_name	map_name	regulation_seconds	elapsed_seconds	over_seconds	is_overtime	duration_seconds	playable_duration_seconds	team_0_score	team_1_score	player_count	start_time_utc
eb665a8f	eb665a8f-148f-4039-9de6-bb90fcefde0d	CTF:Arena	Origin	720	976	256	true	1009	1001	2	3	2	2026-03-03 21:40:03.497+01
4a93f0e2	4a93f0e2-5bc1-4235-96fd-b2659725ee50	CTF:Arena	Dynasty	720	966	246	true	1007	1000	2	3	3	2026-01-12 22:43:07.719+01
521c5c38	521c5c38-9aa6-4c79-99d0-b4a0a57ab5a1	CTF:Arena	Forest	720	946	226	true	993	985	2	1	1	2026-01-17 15:29:25.744+01
8b512df2	8b512df2-2b5a-4c7f-9d4f-8f2c5fe86fe7	CTF:Arena	Forest	720	937	217	true	975	968	2	2	3	2026-01-12 22:25:03.864+01
eba1e63f	eba1e63f-1daf-4703-b8c5-93b47b239613	CTF:Arena	Aquarius	720	895	175	true	934	926	3	2	1	2026-01-16 19:06:34.459+01
19ef6b04	19ef6b04-88ad-4861-8b16-72d5db2e2731	CTF:Arena	Aquarius	720	877	157	true	911	904	2	1	1	2026-01-19 17:54:09.442+01
44e14331	44e14331-41e6-4343-8d25-06a7bf1886fb	CTF:Arena	Shiro	720	860	140	true	861	853	2	3	0	2026-07-03 22:57:14.796+02
aaaf6c76	aaaf6c76-2a93-4e4b-abab-b9c685a7fdce	Strongholds:Arena	Kaiketsu	720	835	115	true	885	885	193	197	1	2025-12-30 15:37:39.419+01
64e8adfa	64e8adfa-e3e3-4c26-9f10-7d6a4dc36706	CTF:Arena	Catalyst	720	809	89	true	839	831	2	3	1	2026-01-02 19:16:53.058+01
7ff4271a	7ff4271a-6f9f-4554-9c3e-4726b01c52fe	CTF:Arena	Illusion	720	774	54	true	808	808	3	2	2	2026-02-07 15:30:06.615+01
20fcbfe4	20fcbfe4-5a35-4992-a4b8-4bb7d92b62b6	Team Slayer:Arena	Dynasty	720	751	31	false	752	752	50	45	1	2026-03-27 22:44:23.051+01
de7c1986	de7c1986-40a8-43ce-9d01-4188efe84480	Slayer:Arena	Shiro	720	750	30	false	751	751	46	48	0	2026-07-03 22:29:55.358+02
f37771d1	f37771d1-73cc-49a4-a9d2-2749562976b4	CTF:Arena	Detachment	720	739	19	false	788	788	1	2	7	2026-02-18 21:54:03.911+01
fe6ae52b	fe6ae52b-6ea1-4bb8-898e-9c1e4f24a693	Arena:Slayer	Domicile	720	734	14	false	735	735	33	50	8	2025-10-13 21:57:45.75+02
