id	match_id	xuid	flag_captures	flag_capture_assists	flag_grabs	flag_secures	flag_steals	flag_returns	flag_carriers_killed	flag_returners_killed	kills_as_flag_carrier	kills_as_flag_returner	time_as_flag_carrier_seconds	zone_captures	zone_secures	zone_offensive_kills	zone_defensive_kills	zone_scoring_ticks	time_in_zones_seconds	kills_as_skull_carrier	skull_carriers_killed	skull_grabs	skull_scoring_ticks	time_as_skull_carrier_seconds	longest_time_as_skull_carrier_seconds	written_at	kills_as_power_seed_carrier	power_seed_carriers_killed	power_seeds_deposited	power_seeds_stolen	time_as_power_seed_carrier_seconds	time_as_power_seed_driver_seconds	extraction_conversions_completed	extraction_conversions_denied	extraction_initiations_completed	extraction_initiations_denied	successful_extractions	kills_as_vip	vip_kills	vip_assists	times_selected_as_vip	max_killing_spree_as_vip	time_as_vip_seconds	longest_time_as_vip_seconds
1818	01e1f945-7cd0-428e-ade5-759c810b1224	2533274824966873	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10	0	9	1	33	54.4	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1814	01e1f945-7cd0-428e-ade5-759c810b1224	2533274832680942	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8	0	2	2	22	40.3	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1821	01e1f945-7cd0-428e-ade5-759c810b1224	2533274969015015	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8	0	4	0	34	56.8	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1816	01e1f945-7cd0-428e-ade5-759c810b1224	2535451337001599	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	1	5	3	50	68.7	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1817	01e1f945-7cd0-428e-ade5-759c810b1224	2535455052477469	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6	1	3	1	33	41	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1815	01e1f945-7cd0-428e-ade5-759c810b1224	2535459782888916	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8	0	3	2	35	51.7	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1820	01e1f945-7cd0-428e-ade5-759c810b1224	2535462158176179	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	0	7	1	22	42.8	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1819	01e1f945-7cd0-428e-ade5-759c810b1224	2535469190789936	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	0	2	3	40	55.7	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1822	01e1f945-7cd0-428e-ade5-759c810b1224	bid(42.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	1	0	3	3.9	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:13:11.260658 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4342	0a247154-c9f8-462a-b363-794e1a3ee6b1	2533274846684310	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	5	3	55	66.4	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:14:26.585036 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4336	0a247154-c9f8-462a-b363-794e1a3ee6b1	2533274858283686	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	3	2	31	43.5	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:14:26.585036 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4341	0a247154-c9f8-462a-b363-794e1a3ee6b1	2533274870240621	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	5	2	43	49.3	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:14:26.585036 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4339	0a247154-c9f8-462a-b363-794e1a3ee6b1	2533274969598328	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	4	5	39	48.3	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:14:26.585036 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4340	0a247154-c9f8-462a-b363-794e1a3ee6b1	2535406399121492	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	6	5	74	86.9	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:14:26.585036 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4343	0a247154-c9f8-462a-b363-794e1a3ee6b1	2535420289574892	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	4	1	112	130.8	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 18:14:26.585036 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
