match_id	start_time_utc	game_variant_name	pair_name	mode_category	map_name	duration_seconds	playable_duration_seconds	team_0_score	team_1_score	player_count
0797ce72-701d-4ad8-9e45-79f5da3e122c	2026-07-24 19:30:35.632 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Live Fire - Forge	Other	Live Fire	434	434	50	42	0
0891225f-90e7-47df-aba9-5e991287b79b	2026-09-01 20:42:17.845 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Perilous	Other	Perilous	533	533	28	50	0
0a44c6cc-9086-4ff9-92f8-64651059b324	2026-07-28 17:14:34.973 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Launch Site - Forge	Other	Launch Site	544	544	50	15	0
0d265ab0-5624-4edb-b5a9-502d4cb24139	2026-09-01 20:14:25.854 +0000 UTC	Slayer:Arena	Community:Slayer on Sylvanus	Other	Sylvanus	558	558	50	17	0
16ea3668-8293-4b35-8434-18191ba249b7	2026-07-31 20:10:17.315 +0000 UTC	CTF:Arena	Arena:CTF on Aquarius	Other	Aquarius	417	417	3	1	0
1b2d9e08-4c0c-430c-9760-a245d48b222e	2026-09-01 20:26:39.367 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Dynasty	Other	Dynasty	550	550	50	33	0
1c4c63c2-994c-424a-8bde-14c1f595ec0e	2025-03-26 19:42:00.15 +0000 UTC	BTB:One Flag CTF	BTB:One Flag CTF on Refuge	BTB	Refuge	1293	1293	3	2	1
1cd3848a-e334-4795-835a-433a21d4009f	2026-08-27 19:02:38.504 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Behemoth - Forge	Other	Behemoth	566	566	50	49	0
24dbb67d-a7d8-4359-b319-bdf13959178d	2025-11-06 20:31:57.832 +0000 UTC	Ranked:Oddball	Ranked:Oddball on Recharge	Ranked	Recharge - Ranked	519	512	200	121	3
28c9b538-8456-4194-9d3c-fec3e2281cb2	2026-09-01 19:53:20.218 +0000 UTC	Team Slayer:Arena	Arena:Team Slayer on Chasm - Forge	Other	Chasm	710	710	47	50	0
2cf24f30-1a89-40b8-b14c-69119c68fc65	2026-08-27 19:39:40.667 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Snowbound	Other	Snowbound	416	416	19	50	0
30724141-5064-42e2-a38a-60c42613bf64	2026-07-28 18:23:49.64 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Live Fire - Forge	Other	Live Fire	416	416	50	42	0
30a23d15-ed42-41c9-9458-929b0f9b3120	2026-08-27 20:30:35.39 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Critical Dewpoint	Other	Critical Dewpoint	508	508	37	50	0
32d9a94f-2743-427c-9b52-049a99a262ea	2026-07-31 19:22:23.221 +0000 UTC	Strongholds:Arena	Arena:Strongholds on Perilous	Other	Perilous	450	450	200	153	0
3923bede-dc47-4f54-9ef5-4a77a4eaf350	2026-07-31 20:41:22.626 +0000 UTC	Team Slayer:Arena	Arena:Team Slayer on Recharge - Forge	Other	Recharge	663	663	50	41	0
396cfc92-6f9e-403b-a46f-20bc73b38c11	2026-09-07 19:42:15.92 +0000 UTC	Strongholds:Arena	Arena:Strongholds on Illusion	Other	Illusion	523	523	200	183	0
3ba5a548-336b-406f-ab58-7f8071337af4	2026-07-28 18:14:10.207 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Streets - Forge	Other	Streets	462	462	42	50	0
43716616-7707-489c-8e12-ba5013ad2247	2025-12-01 19:12:44.437 +0000 UTC	Oddball:Arena	Arena:Oddball on Smallhalla	Assassin	Smallhalla	336	328	53	160	1
4577fcc4-174c-47fc-a3ab-91140dd03486	2026-07-31 19:32:42.415 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Curfew	Other	Curfew	561	561	50	44	0
46c3f91d-8bef-433f-a517-3ea1c72aa76c	2026-07-28 09:49:18.496 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Catalyst - Forge	Other	Catalyst	452	452	50	27	0
