match_id	game_variant_name	pair_name	db_t0	db_t1	api_t0	api_t1	ticks_t0	ticks_t1	cause	first_sync_by	first_sync_at	start_time
f395b462-9335-430f-899d-535e571a7e68	Arena:Attrition	Arena:Attrition on Catalyst	2	1950	2	0	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2022-11-11 00:00:00 +0000 UTC
293a763e-7255-4df4-9dc9-cfcec5469e8b	Arena:Oddball	Arena:Oddball on Live Fire	186	181	181	186	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2023-03-21 00:00:00 +0000 UTC
9fa3100c-cb5f-4f32-ae0b-3f9665537f9a	Arena:Oddball	Arena:Oddball on Live Fire	155	218	218	155	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2023-03-23 00:00:00 +0000 UTC
adb93fb7-aea8-479a-90e3-75c82929f83a	Arena:Oddball	Arena:Oddball on Recharge	234	277	277	234	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2021-11-22 00:00:00 +0000 UTC
ca738284-0aee-4587-bb95-a7196117eccc	Arena:Oddball	Arena:Oddball on Starboard	168	176	176	168	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2023-04-01 00:00:00 +0000 UTC
1141896d-17b4-40ad-82c3-e7bbf3ee3c6d	Arena:Strongholds	Arena:Strongholds on Solution	188	182	200	199	182	188	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2025-10-26 00:00:00 +0000 UTC
443426df-4bd9-4427-8d17-d2b5a10f40b2	BTB:One Flag CTF	BTB:One Flag CTF on Refuge	0	2	0	3	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2025-03-26 00:00:00 +0000 UTC
d1e89330-88a3-483f-9738-9ed8b6cfa988	BTB:One Flag CTF	BTB:One Flag CTF on Refuge	0	2	0	3	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2024-06-01 00:00:00 +0000 UTC
50de9126-8357-42db-942c-1686755fbdd1	BTB:Sentry Defense	BTB:Sentry Defense on Oasis Sentry Defense	165	319	319	165	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2025-04-01 00:00:00 +0000 UTC
d9781168-5fd6-4b00-a862-56e3a0a1f956	Oddball:Arena	Arena:Oddball on Dredge	196	191	191	196	NULL	NULL	autre	JGtm	2026-02-14 00:00:00 +0000 UTC	2025-12-27 00:00:00 +0000 UTC
3338df70-bf9b-4406-9ab7-db143ba74702	Ranked:Oddball	Ranked:Oddball on Streets	286	212	212	286	NULL	NULL	autre	Madina97294	2026-02-14 00:00:00 +0000 UTC	2023-03-13 00:00:00 +0000 UTC
4ef7415a-eddd-4758-9823-75baa43cec0d	Arena:Strongholds	Arena:Strongholds on Fortress	137	183	139	200	137	183	ticks_de_zone	Madina97294	2026-02-14 00:00:00 +0000 UTC	2025-10-22 00:00:00 +0000 UTC
6d49207d-e39a-4cdc-99b3-605c5c6eebca	Arena:Strongholds	Arena:Strongholds on Illusion	176	146	200	158	176	146	ticks_de_zone	Chocoboflor	2026-02-14 00:00:00 +0000 UTC	2025-10-23 00:00:00 +0000 UTC
ad2472a1-5d07-4a33-ba39-7efc175b8bfa	Arena:Strongholds	Arena:Strongholds on Snowbound	15	183	15	200	15	183	ticks_de_zone	Chocoboflor	2026-02-14 00:00:00 +0000 UTC	2025-10-13 00:00:00 +0000 UTC
af13e2b2-6a78-4430-8eed-6f3156148086	Arena:Strongholds	Arena:Strongholds on Origin	3	134	3	200	3	134	ticks_de_zone	Madina97294	2026-02-14 00:00:00 +0000 UTC	2025-10-26 00:00:00 +0000 UTC
b974a390-1e9c-4ad6-bc3e-a8018a29b841	Arena:Strongholds	Arena:Strongholds on Streets	197	162	200	174	197	162	ticks_de_zone	Madina97294	2026-02-14 00:00:00 +0000 UTC	2025-10-22 00:00:00 +0000 UTC
c5094b31-695f-4459-83b8-7b62989521a0	Arena:Strongholds	Arena:Strongholds on Cliffside	164	75	200	79	164	75	ticks_de_zone	Madina97294	2026-02-14 00:00:00 +0000 UTC	2025-10-22 00:00:00 +0000 UTC
ca6b8980-5070-4cd6-80aa-b126c5a4a8db	Arena:Strongholds	Arena:Strongholds on Solitude	184	130	200	149	184	130	ticks_de_zone	Chocoboflor	2026-02-14 00:00:00 +0000 UTC	2025-10-21 00:00:00 +0000 UTC
bf831a6b-3dd3-4b97-b4b5-b67da6291079	BTB:Fiesta Total Control	BTB:Fiesta Total Control on Command	0	0	3	0	0	0	ticks_de_zone	Madina97294	2026-02-14 00:00:00 +0000 UTC	2025-03-29 00:00:00 +0000 UTC
0ec6323d-9b7f-4d71-bad4-79bd3921600a	BTB:Total Control	BTB:Total Control on Breaker	0	0	0	3	0	0	ticks_de_zone	Madina97294	2026-02-14 00:00:00 +0000 UTC	2023-11-25 00:00:00 +0000 UTC
