film	famille	mode	action	xuid	gamertag	publie	oracle	ecart	max_pas
4f77afc1	CTF	BTB:CTF	flag_captures	2535418140736812		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_captures	2535457514480546		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_grabs	2533274858283686		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_grabs	2535418140736812		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_grabs	2535420159292452		0	2	-2	0
4f77afc1	CTF	BTB:CTF	flag_steals	2533274798159764		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_steals	2533274988198027		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_steals	2535418140736812		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_steals	2535420159292452		0	2	-2	0
4f77afc1	CTF	BTB:CTF	flag_steals	2535447170907787		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_steals	2535457217346540		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_steals	2535457514480546		0	3	-3	0
4f77afc1	CTF	BTB:CTF	flag_steals	2535462972817970		0	3	-3	0
4f77afc1	CTF	BTB:CTF	flag_returns	2533274823110022	JGtm	0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_returns	2533274858283686		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_returns	2535432037056604		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_returns	2535461788192443		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_returns	2535469763661810		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_returns	bid(59.0		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_secures	2533274858283686		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_secures	2535418140736812		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_secures	2535420159292452		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2533274818676576		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2533274858283686		0	2	-2	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2535437483090324		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2535447170907787		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2535449476496795		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2535457217346540		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2535457514480546		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2535461788192443		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	2535469763661810		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_carriers_killed	bid(59.0		0	1	-1	0
4f77afc1	CTF	BTB:CTF	flag_capture_assists	2535457217346540		0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_captures	2533274858283686		0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_captures	2533274920570623		0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_captures	2535405728090473		0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_captures	2535457217346540		0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_captures	2535460487570599		0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_grabs	2533274817737470		0	2	-2	0
879a4dba	CTF	BTB:CTF	flag_grabs	2533274823110022	JGtm	0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_grabs	2533274858283686		0	2	-2	0
879a4dba	CTF	BTB:CTF	flag_grabs	2533274893737372		0	4	-4	0
879a4dba	CTF	BTB:CTF	flag_grabs	2533274920570623		0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_grabs	2535405728090473		0	1	-1	0
879a4dba	CTF	BTB:CTF	flag_grabs	2535432231421181		0	2	-2	0
879a4dba	CTF	BTB:CTF	flag_grabs	2535443641007500		0	1	-1	0
