film	xuid	periodes_av	periodes_ap	publie_av_s	publie_ap_s	oracle_s	ecart_av_s	ecart_ap_s	ratio_av	ratio_ap
16ea3668	2533274858283686	9	9	32.1	32.1	30.9	+1.2	+1.2	1.039	1.039
16ea3668	2533275034585819	3	3	6.0	6.0	5.5	+0.5	+0.5	1.091	1.091
16ea3668	2535417044536883	2	2	1.1	1.1	0.9	+0.2	+0.2	1.222	1.222
16ea3668	2535447614023932	8	8	17.5	17.5	16.3	+1.2	+1.2	1.074	1.074
16ea3668	2535466949313010	4	4	31.8	31.8	31.2	+0.6	+0.6	1.019	1.019
16ea3668	2598952284978039	3	3	46.5	46.5	46.2	+0.3	+0.3	1.006	1.006
4ecdf3e7	2533274823110022	2	2	22.6	22.6	22.4	+0.2	+0.2	1.009	1.009
4ecdf3e7	2533274858283686	10	10	54.3	54.3	52.9	+1.4	+1.4	1.026	1.026
4ecdf3e7	2533274877168586	0	0	0.0	0.0	4.1	-4.1	-4.1	0.000	0.000
4ecdf3e7	2535426953464929	11	11	17.1	17.1	15.9	+1.2	+1.2	1.075	1.075
4ecdf3e7	2535469190789936	2	2	3.9	3.9	14.3	-10.4	-10.4	0.273	0.273
4f77afc1	2533274798159764	0	0	0.0	0.0	0.2	-0.2	-0.2	0.000	0.000
4f77afc1	2533274858283686	0	0	0.0	0.0	1.2	-1.2	-1.2	0.000	0.000
4f77afc1	2533274988198027	0	0	0.0	0.0	1.8	-1.8	-1.8	0.000	0.000
4f77afc1	2535418140736812	0	0	0.0	0.0	13.9	-13.9	-13.9	0.000	0.000
4f77afc1	2535420159292452	0	0	0.0	0.0	3.2	-3.2	-3.2	0.000	0.000
4f77afc1	2535447170907787	0	0	0.0	0.0	1.1	-1.1	-1.1	0.000	0.000
4f77afc1	2535457217346540	0	0	0.0	0.0	13.0	-13.0	-13.0	0.000	0.000
4f77afc1	2535457514480546	0	0	0.0	0.0	29.2	-29.2	-29.2	0.000	0.000
4f77afc1	2535462972817970	0	0	0.0	0.0	9.6	-9.6	-9.6	0.000	0.000
58864b3c	2533274822170595	1	1	37.6	37.6	37.4	+0.2	+0.2	1.005	1.005
58864b3c	2533274823110022	2	2	13.8	13.8	13.5	+0.3	+0.3	1.022	1.022
58864b3c	2533274829350000	5	5	13.7	13.7	13.2	+0.5	+0.5	1.038	1.038
58864b3c	2533274858283686	5	5	9.9	9.9	9.3	+0.6	+0.6	1.065	1.065
58864b3c	2535452521259564	4	4	27.2	27.2	26.8	+0.4	+0.4	1.015	1.015
58864b3c	2535469190789936	3	3	10.3	10.3	9.9	+0.4	+0.4	1.040	1.040
7fce3219	2533274823110022	2	2	8.2	8.2	8.0	+0.2	+0.2	1.025	1.025
7fce3219	2533274858283686	9	9	13.8	13.8	12.9	+0.9	+0.9	1.070	1.070
7fce3219	2533274943116584	1	1	0.6	0.6	0.4	+0.2	+0.2	1.500	1.500
7fce3219	2533274955626571	27	27	43.3	43.3	40.2	+3.1	+3.1	1.077	1.077
7fce3219	2535415254450151	13	13	64.8	64.9	63.3	+1.5	+1.6	1.024	1.025
7fce3219	2535458465148583	1	1	2.8	2.8	2.7	+0.1	+0.1	1.037	1.037
7fce3219	2535469190789936	17	17	23.6	23.6	21.6	+2.0	+2.0	1.093	1.093
7fce3219	2654577101798078	15	15	26.3	26.3	24.8	+1.5	+1.5	1.060	1.060
879a4dba	2533274817737470	0	0	0.0	0.0	1.1	-1.1	-1.1	0.000	0.000
879a4dba	2533274823110022	0	0	0.0	0.0	1.6	-1.6	-1.6	0.000	0.000
879a4dba	2533274858283686	0	0	0.0	0.0	12.0	-12.0	-12.0	0.000	0.000
879a4dba	2533274893737372	0	0	0.0	0.0	3.3	-3.3	-3.3	0.000	0.000
879a4dba	2533274920570623	0	0	0.0	0.0	38.9	-38.9	-38.9	0.000	0.000
879a4dba	2535405728090473	0	0	0.0	0.0	13.8	-13.8	-13.8	0.000	0.000
879a4dba	2535432231421181	0	0	0.0	0.0	46.9	-46.9	-46.9	0.000	0.000
879a4dba	2535443641007500	0	0	0.0	0.0	2.0	-2.0	-2.0	0.000	0.000
879a4dba	2535457217346540	0	0	0.0	0.0	16.5	-16.5	-16.5	0.000	0.000
879a4dba	2535458469688663	0	0	0.0	0.0	3.1	-3.1	-3.1	0.000	0.000
879a4dba	2535460487570599	0	0	0.0	0.0	47.5	-47.5	-47.5	0.000	0.000
879a4dba	2535462209962245	0	0	0.0	0.0	4.5	-4.5	-4.5	0.000	0.000
879a4dba	2667980672122182	0	0	0.0	0.0	1.8	-1.8	-1.8	0.000	0.000
8bc6074f	2533274823110022	5	5	33.1	33.1	32.4	+0.7	+0.7	1.022	1.022
8bc6074f	2533274829350000	12	12	42.6	42.6	41.6	+1.0	+1.0	1.024	1.024
8bc6074f	2533274833178266	3	3	11.9	11.9	12.8	-0.9	-0.9	0.930	0.930
8bc6074f	2533274858283686	5	5	9.9	9.9	9.1	+0.8	+0.8	1.088	1.088
8bc6074f	2535449383340628	11	11	43.6	43.6	42.4	+1.2	+1.2	1.028	1.028
8bc6074f	2535450759128461	2	2	27.1	27.1	26.8	+0.3	+0.3	1.011	1.011
8bc6074f	2535452521259564	3	3	12.7	12.7	12.5	+0.2	+0.2	1.016	1.016
8bc6074f	2535469190789936	10	10	32.6	32.6	31.7	+0.9	+0.9	1.028	1.028
a0c36016	2533274823110022	1	1	1.4	1.4	1.4	+0.0	+0.0	1.000	1.000
a0c36016	2533274858283686	5	5	32.8	32.8	32.3	+0.5	+0.5	1.015	1.015
a0c36016	2533274858911298	7	7	42.3	42.3	41.5	+0.8	+0.8	1.019	1.019
a0c36016	2535425652517893	7	7	21.2	21.2	20.1	+1.1	+1.1	1.055	1.055
a0c36016	2535427927026623	8	8	5.9	5.9	5.0	+0.9	+0.9	1.180	1.180
a0c36016	2535448372866366	2	2	3.1	3.2	3.0	+0.1	+0.2	1.033	1.067
a0c36016	2535456861208728	7	7	10.4	10.4	9.4	+1.0	+1.0	1.106	1.106
a0c36016	2535469190789936	12	12	43.4	43.4	43.8	-0.4	-0.4	0.991	0.991
b8a44fe8	2533274823110022	2	2	25.0	25.0	17.2	+7.8	+7.8	1.453	1.453
b8a44fe8	2533274858283686	30	30	232.4	275.3	271.8	-39.4	+3.5	0.855	1.013
b8a44fe8	2533274858911298	2	2	56.4	28.6	28.4	+28.0	+0.2	1.986	1.007
b8a44fe8	2533274897257135	2	2	9.2	9.2	9.0	+0.2	+0.2	1.022	1.022
b8a44fe8	2535442462807197	13	16	140.4	60.7	59.0	+81.4	+1.7	2.380	1.029
b8a44fe8	2535455799302553	10	10	30.9	16.1	14.9	+16.0	+1.2	2.074	1.081
b8a44fe8	2535469190789936	1	1	0.8	0.9	0.8	+0.0	+0.1	1.000	1.125
bc60b4d9	2533274823110022	2	2	9.1	9.0	8.8	+0.3	+0.2	1.034	1.023
bc60b4d9	2533274897645479	5	5	41.8	41.8	41.3	+0.5	+0.5	1.012	1.012
bc60b4d9	2533274924336100	4	4	18.8	18.6	18.2	+0.6	+0.4	1.033	1.022
bc60b4d9	2533274943116584	3	3	9.6	9.6	9.1	+0.5	+0.5	1.055	1.055
bc60b4d9	2535458465148583	1	1	1.8	1.8	1.6	+0.2	+0.2	1.125	1.125
bc60b4d9	2535469190789936	5	5	23.9	23.2	22.6	+1.3	+0.6	1.058	1.027
bc60b4d9	2654577101798078	9	11	23.6	19.8	18.6	+5.0	+1.2	1.269	1.065
bf5ced1b	2535412865870758	2	3	14.7	12.5	12.3	+2.4	+0.2	1.195	1.016
bf5ced1b	2535434888128184	2	2	17.2	17.2	17.0	+0.2	+0.2	1.012	1.012
bf5ced1b	2535459651975585	7	7	4.3	4.2	3.8	+0.5	+0.4	1.132	1.105
cde26226	2533274817658307	6	6	275.3	275.3	274.0	+1.3	+1.3	1.005	1.005
cde26226	2533274818074729	4	4	73.0	73.0	72.4	+0.6	+0.6	1.008	1.008
cde26226	2533274823110022	1	1	2.9	2.9	2.8	+0.1	+0.1	1.036	1.036
cde26226	2533274849050722	4	4	12.9	12.9	12.5	+0.4	+0.4	1.032	1.032
