film	famille	mode	images_portees	images_muettes	pct_muettes	periodes	periodes_avec_trou	images_muettes_expliquees_vehicule
16ea3668	CTF	CTF:Arena	1350	0	0.0	29	0	0
58864b3c	CTF	CTF:Arena	1125	0	0.0	20	0	0
7fce3219	CTF	CTF:Arena	1835	0	0.0	85	0	0
8bc6074f	CTF	CTF:Arena	2135	0	0.0	51	0	0
a0c36016	CTF	CTF:Arena	1606	0	0.0	49	0	0
b8a44fe8	CTF	CTF:Arena	4158	258	6.2	63	2	0
bc60b4d9	CTF	CTF:Arena	1238	0	0.0	31	0	0
bf5ced1b	CTF	CTF:Arena	339	0	0.0	12	0	0
cde26226	CTF	CTF:Arena	4995	134	2.7	84	1	0
f8efc5ca	CTF	CTF:Arena	1986	0	0.0	35	0	0
fb1a1a72	CTF	CTF:Arena	2727	307	11.3	35	2	0
4ecdf3e7	CTF	CTF:Arena Neutral Flag	979	2	0.2	25	1	0
