calque	film	famille	periodes	publie_s	oracle_s	ratio	joueurs_au_dessus	joueurs_mesures	pire_ecart_xuid	pire_ecart_s
crane	TOTAL		0	0.0	0.0		0	0		
drapeau	16ea3668	CTF	29	135.0	131.0	1.031	6	6	2533274858283686	1.2
drapeau	58864b3c	CTF	20	112.5	110.1	1.022	6	6	2533274858283686	0.6
drapeau	7fce3219	CTF	85	183.5	173.9	1.055	8	8	2533274955626571	3.1
drapeau	8bc6074f	CTF	51	213.5	209.3	1.020	7	8	2535449383340628	1.2
drapeau	a0c36016	CTF	49	160.6	156.5	1.026	6	8	2535425652517893	1.1
drapeau	b8a44fe8	CTF	63	415.8	401.1	1.037	7	7	2533274823110022	7.8
drapeau	bc60b4d9	CTF	31	123.8	120.2	1.030	7	7	2654577101798078	1.2
drapeau	bf5ced1b	CTF	12	33.9	33.1	1.024	3	3	2535459651975585	0.4
drapeau	cde26226	CTF	84	499.5	480.4	1.040	8	8	2533274858283686	6.5
drapeau	f8efc5ca	CTF	35	198.6	196.0	1.013	6	7	2533274858283686	1.1
drapeau	fb1a1a72	CTF	35	272.7	260.4	1.047	7	7	2533274795950878	8.0
drapeau	4ecdf3e7	CTF	25	97.9	109.6	0.893	3	5	2533274858283686	1.4
drapeau	TOTAL		519	2447.3	2381.6	1.028	74	80		
