film	xuid	avant_k	avant_d	avant_a	apres_k	apres_d	apres_a	feuille_k	feuille_d	feuille_a	bouge	avant_exact	apres_exact
01e1f945	2533274824966873	18	13	4	18	13	4	18	13	4	false	true	true
01e1f945	2533274832680942	11	18	7	11	18	7	11	18	7	false	true	true
01e1f945	2533274969015015	13	15	7	13	15	7	13	15	7	false	true	true
01e1f945	2535451337001599	14	15	8	14	15	8	14	15	8	false	true	true
01e1f945	2535455052477469	11	10	7	11	10	7	11	10	7	false	true	true
01e1f945	2535459782888916	9	11	8	9	11	8	9	11	8	false	true	true
01e1f945	2535462158176179	23	9	6	23	9	6	23	9	6	false	true	true
01e1f945	2535469190789936	7	14	3	7	14	3	7	14	3	false	true	true
0797ce72	2533274823110022	11	11	6	11	11	6	11	11	6	false	true	true
0797ce72	2533274858283686	11	16	4	11	16	4	11	16	4	false	true	true
0797ce72	2533274978991995	10	12	3	10	12	3	10	12	3	false	true	true
0797ce72	2535410192448577	13	7	3	13	7	3	13	7	3	false	true	true
0797ce72	2535430795061303	14	12	5	14	12	5	14	12	5	false	true	true
0797ce72	2535434284105622	10	11	1	10	11	1	10	11	1	false	true	true
0797ce72	2535435977379493	15	13	4	15	13	4	15	13	4	false	true	true
0797ce72	2535443189597559	8	11	3	8	11	3	8	11	3	false	true	true
0891225f	2533274823110022	4	14	1	4	14	1	4	14	1	false	true	true
0891225f	2533274827402936	7	9	6	7	9	6	7	9	6	false	true	true
0891225f	2533274858283686	10	13	3	10	13	3	10	13	3	false	true	true
0891225f	2533274960000593	11	12	1	11	12	1	11	12	1	false	true	true
0891225f	2535425340175834	13	6	1	13	6	1	13	6	1	false	true	true
0891225f	2535446919672824	14	6	5	14	6	5	14	6	5	false	true	true
0891225f	2535469190789936	3	11	2	3	11	2	3	11	2	false	true	true
0891225f	2535472010316112	16	9	8	16	9	8	16	9	8	false	true	true
0a44c6cc	2533274803918869	4	4	4	4	4	4	4	4	4	false	true	true
0a44c6cc	2533274823110022	11	3	2	11	3	2	11	3	2	false	true	true
0a44c6cc	2533274990344042	15	6	8	15	6	8	15	6	8	false	true	true
0a44c6cc	2535408628469620	4	6	0	4	6	0	4	6	0	false	true	true
0a44c6cc	2535415243621521	3	16	1	3	16	1	3	16	1	false	true	true
0a44c6cc	2535425999503599	20	3	0	20	3	0	20	3	0	false	true	true
0a44c6cc	2535438423239951	3	17	1	3	17	1	3	17	1	false	true	true
0a44c6cc	bid(42.0)	2	6	0	2	6	0	2	6	0	false	true	true
0d265ab0	2533274823110022	7	6	3	7	6	3	7	6	3	false	true	true
0d265ab0	2533274858283686	17	5	4	17	5	4	17	5	4	false	true	true
0d265ab0	2535423066102868	3	7	1	3	7	1	3	7	1	false	true	true
0d265ab0	2535434161339333	5	18	2	5	18	2	5	18	2	false	true	true
0d265ab0	2535448131958677	16	3	5	16	3	5	16	3	5	false	true	true
0d265ab0	2535469190789936	10	4	3	10	4	3	10	4	3	false	true	true
0d265ab0	bid(0.0)	2	7	0	2	7	0	2	7	0	false	true	true
16ea3668	2533274823110022	12	11	3	12	11	3	12	11	3	false	true	true
16ea3668	2533274858283686	8	9	2	8	9	2	8	9	2	false	true	true
16ea3668	2533275034585819	11	12	7	11	12	7	11	12	7	false	true	true
16ea3668	2535417044536883	13	5	1	13	5	1	13	5	1	false	true	true
16ea3668	2535447614023932	10	8	6	10	8	6	10	8	6	false	true	true
16ea3668	2535466949313010	11	11	2	11	11	2	11	11	2	false	true	true
16ea3668	2535469190789936	5	11	6	5	11	6	5	11	6	false	true	true
16ea3668	2598952284978039	4	7	4	4	7	4	4	7	4	false	true	true
1b2d9e08	2533274806449978	16	7	15616	16	7	2	16	7	2	true	false	true
1b2d9e08	2533274823110022	12	9	6	12	9	6	12	9	6	false	true	true
1b2d9e08	2533274858283686	14	11	7	14	11	7	14	11	7	false	true	true
1b2d9e08	2533274881198408	15	11	5	15	11	5	15	11	5	false	true	true
1b2d9e08	2533274974823301	7	9	5	7	9	5	7	9	5	false	true	true
1b2d9e08	2535423066102868	9	15	4	9	15	4	9	15	4	false	true	true
1b2d9e08	2535469190789936	8	6	9	8	6	9	8	6	9	false	true	true
1cd3848a	2533274823110022	7	13	4	7	13	4	7	13	4	false	true	true
1cd3848a	2533274846179914	12	10	0	12	10	0	12	10	0	false	true	true
1cd3848a	2535417418106227	16	13	6	16	13	6	16	13	6	false	true	true
1cd3848a	2535424417833911	7	15	5	7	15	5	7	15	5	false	true	true
1cd3848a	2535446336862675	25	9	2	25	9	2	25	9	2	false	true	true
1cd3848a	2535448680861121	13	13	2	13	13	2	13	13	2	false	true	true
1cd3848a	2535451079804134	15	12	3	15	12	3	15	12	3	false	true	true
1cd3848a	2535462491073931	4	15	2	4	15	2	4	15	2	false	true	true
21ece4d8	2533274818644345	8	11	6	8	11	6	8	11	6	false	true	true
21ece4d8	2533274823110022	18	12	6	18	12	6	18	12	6	false	true	true
21ece4d8	2533274937251227	17	12	5	17	12	5	17	12	5	false	true	true
21ece4d8	2533274969128194	8	13	6	8	13	6	8	13	6	false	true	true
21ece4d8	2535447289950713	7	12	8	7	12	8	7	12	8	false	true	true
21ece4d8	2535449038390597	13	12	7	13	12	7	13	12	7	false	true	true
21ece4d8	2535457719922537	7	8	9	7	8	9	7	8	9	false	true	true
21ece4d8	2535471057307458	11	10	6	11	10	6	11	10	6	false	true	true
24dbb67d	2533274815819321	9	10	4	9	10	4	9	10	4	false	true	true
24dbb67d	2533274822068549	7	11	12	7	11	12	7	11	12	false	true	true
24dbb67d	2533274823110022	5	12	5	5	12	5	5	12	5	false	true	true
24dbb67d	2533274858283686	20	11	3	20	11	3	20	11	3	false	true	true
24dbb67d	2535425305181079	15	12	4	15	12	4	15	12	4	false	true	true
24dbb67d	2535463185952034	14	10	6	14	10	6	14	10	6	false	true	true
24dbb67d	2535463284114517	10	12	0	10	12	0	10	12	0	false	true	true
24dbb67d	2535469190789936	8	10	5	8	10	5	8	10	5	false	true	true
28c9b538	2533274819487058	12	12	3	12	12	3	12	12	3	false	true	true
28c9b538	2533274823110022	13	12	0	13	12	0	13	12	0	false	true	true
28c9b538	2533274831583926	13	14	5	13	14	5	13	14	5	false	true	true
28c9b538	2533274858283686	18	13	1	18	13	1	18	13	1	false	true	true
28c9b538	2535410463219623	4	14	4	4	14	4	4	14	4	false	true	true
28c9b538	2535425340175834	13	6	3	13	6	3	13	6	3	false	true	true
28c9b538	2535448131958677	12	16	8	12	16	8	12	16	8	false	true	true
28c9b538	2535469190789936	12	12	6	12	12	6	12	12	6	false	true	true
2cf24f30	2533274823110022	7	3	9	7	3	9	7	3	9	false	true	true
2cf24f30	2533274858283686	16	7	8	16	7	8	16	7	8	false	true	true
2cf24f30	2535408102745873	17	5	7	17	5	7	17	5	7	false	true	true
2cf24f30	2535441285405750	7	11	5	7	11	5	7	11	5	false	true	true
2cf24f30	2535460420964609	8	13	2	8	13	2	8	13	2	false	true	true
2cf24f30	bid(8.0)	1	11	1	1	11	1	1	11	1	false	true	true
30724141	2533274794036014	12	16	2	12	16	2	12	16	2	false	true	true
30724141	2533274798764922	7	9	1	7	9	1	7	9	1	false	true	true
30724141	2533274823110022	16	10	1	16	10	1	16	10	1	false	true	true
30724141	2533274864659794	16	11	0	16	11	0	16	11	0	false	true	true
30724141	2533274867698487	7	13	2	7	13	2	7	13	2	false	true	true
30724141	2533274966605832	13	9	1	13	9	1	13	9	1	false	true	true
30724141	2533274990274646	11	12	2	11	12	2	11	12	2	false	true	true
30724141	2535467606519347	10	14	0	10	14	0	10	14	0	false	true	true
30a23d15	2533274823110022	10	8	1	10	8	1	10	8	1	false	true	true
30a23d15	2533274858283686	23	10	6	23	10	6	23	10	6	false	true	true
30a23d15	2533274859374806	11	12	1	11	12	1	11	12	1	false	true	true
30a23d15	2535437118071195	11	11	8	11	11	8	11	11	8	false	true	true
30a23d15	2535450150185938	7	13	9	7	13	9	7	13	9	false	true	true
30a23d15	2535455865634049	13	12	2	13	12	2	13	12	2	false	true	true
30a23d15	2535469190789936	6	9	6	6	9	6	6	9	6	false	true	true
30a23d15	2535471151487577	6	13	6	6	13	6	6	13	6	false	true	true
32d9a94f	2533274823110022	5	11	4	5	11	4	5	11	4	false	true	true
32d9a94f	2533274858283686	8	13	3	8	13	3	8	13	3	false	true	true
32d9a94f	2533275026823394	15	9	2	15	9	2	15	9	2	false	true	true
32d9a94f	2535413078037816	13	9	4	13	9	4	13	9	4	false	true	true
32d9a94f	2535441377074664	11	8	2	11	8	2	11	8	2	false	true	true
32d9a94f	2535443874154080	9	7	3	9	7	3	9	7	3	false	true	true
32d9a94f	2535454224469196	10	4	1	10	4	1	10	4	1	false	true	true
32d9a94f	2535469190789936	0	11	3	0	11	3	0	11	3	false	true	true
3923bede	2533274822500253	23	13	2	23	13	2	23	13	2	false	true	true
3923bede	2533274823110022	10	13	3	10	13	3	10	13	3	false	true	true
3923bede	2533274836037551	15	9	5	15	9	5	15	9	5	false	true	true
3923bede	2533274858283686	19	10	6	19	10	6	19	10	6	false	true	true
3923bede	2533275027826442	6	12	2	6	12	2	6	12	2	false	true	true
3923bede	2535409561713955	6	9	8	6	9	8	6	9	8	false	true	true
3923bede	2535442462807197	5	14	8	5	14	8	5	14	8	false	true	true
3923bede	2535469190789936	6	9	9	6	9	9	6	9	9	false	true	true
396cfc92	2533274810173379	11	4	6	11	4	6	11	4	6	false	true	true
396cfc92	2533274823110022	9	11	4	9	11	4	9	11	4	false	true	true
396cfc92	2533274833178266	2	10	0	2	10	0	2	10	0	false	true	true
396cfc92	2533274858283686	10	6	2	10	6	2	10	6	2	false	true	true
396cfc92	2535450759128461	4	8	3	4	8	3	4	8	3	false	true	true
396cfc92	2535452521259564	7	9	7	7	9	7	7	9	7	false	true	true
396cfc92	2535461109438273	15	9	4	15	9	4	15	9	4	false	true	true
396cfc92	2535469190789936	9	10	1	9	10	1	9	10	1	false	true	true
3ba5a548	2533274793090696	9	6	1	9	6	1	9	6	1	false	true	true
3ba5a548	2533274823110022	12	13	4	12	13	4	12	13	4	false	true	true
3ba5a548	2533274914699663	14	16	4	14	16	4	14	16	4	false	true	true
3ba5a548	2535410306851363	13	13	3	13	13	3	13	13	3	false	true	true
3ba5a548	2535424931886048	15	11	4	15	11	4	15	11	4	false	true	true
3ba5a548	2535445905309194	5	10	6	5	10	6	5	10	6	false	true	true
3ba5a548	2535449611354150	23	13	5	23	13	5	23	13	5	false	true	true
3ba5a548	2535452123788389	1	12	2	1	12	2	1	12	2	false	true	true
43716616	2533274978052136	9	6	6	9	6	6	9	6	6	false	true	true
43716616	2535419789750421	1	7	2	1	7	2	1	7	2	false	true	true
