calque	film	famille	periodes	publie_s	oracle_s	ratio	joueurs_au_dessus	joueurs_mesures	pire_ecart_xuid	pire_ecart_s
crane	43716616	Oddball	14	213.4	217.7	0.980	0	6		0.0
crane	51ebbc0f	Oddball	19	256.1	265.8	0.964	0	6		0.0
crane	c88ec007	Oddball	30	348.8	361.8	0.964	0	8		0.0
crane	d9781168	Oddball	37	388.6	403.7	0.963	0	8		0.0
crane	TOTAL		100	1206.9	1249.0	0.966	0	28		
drapeau	16ea3668	CTF	28	189.0	131.0	1.443	6	6	2535417044536883	54.2
drapeau	58864b3c	CTF	19	113.7	110.1	1.033	6	6	2533274829350000	1.7
drapeau	7fce3219	CTF	85	188.5	173.9	1.084	8	8	2533274943116584	5.2
drapeau	8bc6074f	CTF	51	214.7	209.3	1.026	8	8	2535449383340628	1.2
drapeau	a0c36016	CTF	49	166.4	156.5	1.063	6	8	2535427927026623	6.8
drapeau	b8a44fe8	CTF	60	551.9	401.1	1.376	6	7	2535442462807197	95.3
drapeau	bc60b4d9	CTF	29	128.7	120.2	1.071	7	7	2654577101798078	5.0
drapeau	bf5ced1b	CTF	10	39.0	33.1	1.178	3	3	2535459651975585	3.1
drapeau	cde26226	CTF	79	507.1	480.4	1.056	8	8	2535468122262494	11.9
drapeau	f8efc5ca	CTF	34	200.0	196.0	1.020	6	7	2533274811578968	2.2
drapeau	4ecdf3e7	CTF	25	97.9	109.6	0.893	3	5	2533274858283686	1.4
drapeau	TOTAL		469	2396.9	2121.2	1.130	67	73		
