film	famille	mode	xuid	gamertag	periodes	publie_s	oracle_s	ecart_s	ratio	depasse_oracle
43716616	Oddball	Oddball:Arena	2533274978052136		1	62.0	62.3	-0.3	0.995	false
43716616	Oddball	Oddball:Arena	2535419789750421		1	19.1	19.7	-0.6	0.970	false
43716616	Oddball	Oddball:Arena	2535427924595944		2	5.1	6.2	-1.1	0.823	false
43716616	Oddball	Oddball:Arena	2535434388039469		3	26.0	27.3	-1.3	0.952	false
43716616	Oddball	Oddball:Arena	2535462017472349		5	93.6	94.1	-0.5	0.995	false
43716616	Oddball	Oddball:Arena	2535467430415114		2	7.6	8.1	-0.5	0.938	false
51ebbc0f	Oddball	Oddball:Arena	2533274920533076		1	43.1	43.9	-0.8	0.982	false
51ebbc0f	Oddball	Oddball:Arena	2535412744780601		4	48.4	51.0	-2.6	0.949	false
51ebbc0f	Oddball	Oddball:Arena	2535439712156981		4	74.3	75.7	-1.4	0.982	false
51ebbc0f	Oddball	Oddball:Arena	2535469190789936		3	52.0	53.7	-1.7	0.968	false
51ebbc0f	Oddball	Oddball:Arena	2535469656513037		2	3.8	4.5	-0.7	0.844	false
51ebbc0f	Oddball	Oddball:Arena	2535469889270266		5	34.5	37.0	-2.5	0.932	false
c88ec007	Oddball	Oddball:Arena	2533274829178871		1	2.1	2.5	-0.4	0.840	false
c88ec007	Oddball	Oddball:Arena	2533274905192939		2	33.2	33.6	-0.4	0.988	false
c88ec007	Oddball	Oddball:Arena	2533274969641599		7	113.8	116.8	-3.0	0.974	false
c88ec007	Oddball	Oddball:Arena	2535431078857502		4	56.8	58.9	-2.1	0.964	false
c88ec007	Oddball	Oddball:Arena	2535443294909616		1	2.1	2.6	-0.5	0.808	false
c88ec007	Oddball	Oddball:Arena	2535448682342105		5	38.5	40.8	-2.3	0.944	false
c88ec007	Oddball	Oddball:Arena	2535462296193152		5	58.5	60.8	-2.3	0.962	false
c88ec007	Oddball	Oddball:Arena	2535469190789936		5	43.8	45.8	-2.0	0.956	false
d9781168	Oddball	Oddball:Arena	2533274823110022		5	34.4	37.1	-2.7	0.927	false
d9781168	Oddball	Oddball:Arena	2533274974091007		6	113.6	116.1	-2.5	0.978	false
d9781168	Oddball	Oddball:Arena	2533274977810162		2	50.2	51.1	-0.9	0.982	false
d9781168	Oddball	Oddball:Arena	2535432478853823		3	8.3	9.7	-1.4	0.856	false
d9781168	Oddball	Oddball:Arena	2535435655459376		8	47.2	49.1	-1.9	0.961	false
d9781168	Oddball	Oddball:Arena	2535446563676950		4	22.8	25.5	-2.7	0.894	false
d9781168	Oddball	Oddball:Arena	2535455182553276		7	102.2	105.0	-2.8	0.973	false
d9781168	Oddball	Oddball:Arena	2535463284150067		2	9.9	10.1	-0.2	0.980	false
