film	famille	mode	action	xuid	gamertag	publie	oracle_feuille	ecart	depasse_oracle	max_pas
4f77afc1	CTF	BTB:CTF	kills	2533274798159764		0	1	-1	false	0
4f77afc1	CTF	BTB:CTF	kills	2533274809500684		0	1	-1	false	0
4f77afc1	CTF	BTB:CTF	kills	2533274818676576		0	20	-20	false	0
4f77afc1	CTF	BTB:CTF	kills	2533274823110022	JGtm	0	10	-10	false	0
4f77afc1	CTF	BTB:CTF	kills	2533274827096894		0	5	-5	false	0
4f77afc1	CTF	BTB:CTF	kills	2533274858283686		0	16	-16	false	0
4f77afc1	CTF	BTB:CTF	kills	2533274893737372		0	54	-54	false	0
4f77afc1	CTF	BTB:CTF	kills	2533274964038601		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	2533274988198027		0	7	-7	false	0
4f77afc1	CTF	BTB:CTF	kills	2535415664028186		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	2535418140736812		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	2535420159292452		0	9	-9	false	0
4f77afc1	CTF	BTB:CTF	kills	2535424439387161		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	2535432037056604		0	22	-22	false	0
4f77afc1	CTF	BTB:CTF	kills	2535432826033393		0	2	-2	false	0
4f77afc1	CTF	BTB:CTF	kills	2535437483090324		0	10	-10	false	0
4f77afc1	CTF	BTB:CTF	kills	2535445318491907		0	4	-4	false	0
4f77afc1	CTF	BTB:CTF	kills	2535447170907787		0	7	-7	false	0
4f77afc1	CTF	BTB:CTF	kills	2535449476496795		0	9	-9	false	0
4f77afc1	CTF	BTB:CTF	kills	2535457217346540		0	34	-34	false	0
4f77afc1	CTF	BTB:CTF	kills	2535457514480546		0	19	-19	false	0
4f77afc1	CTF	BTB:CTF	kills	2535461484006747		0	1	-1	false	0
4f77afc1	CTF	BTB:CTF	kills	2535461788192443		0	12	-12	false	0
4f77afc1	CTF	BTB:CTF	kills	2535462209962245		0	24	-24	false	0
4f77afc1	CTF	BTB:CTF	kills	2535462972817970		0	3	-3	false	0
4f77afc1	CTF	BTB:CTF	kills	2535468111373012		0	10	-10	false	0
4f77afc1	CTF	BTB:CTF	kills	2535468801188298		0	2	-2	false	0
4f77afc1	CTF	BTB:CTF	kills	2535469763661810		0	16	-16	false	0
4f77afc1	CTF	BTB:CTF	kills	bid(11.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	bid(22.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	bid(23.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	bid(38.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	bid(42.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	bid(57.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	kills	bid(59.0)		0	5	-5	false	0
4f77afc1	CTF	BTB:CTF	kills	bid(6.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	assists	2533274798159764		0	2	-2	false	0
