film	famille	action	publie_total	oracle_total	ratio	joueurs_au_dessus	joueurs	pire_xuid	pire_ecart
4f77afc1	CTF	kills	0	303	0.000	0	36		0
4f77afc1	CTF	assists	0	122	0.000	0	36		0
879a4dba	CTF	kills	0	135	0.000	0	26		0
879a4dba	CTF	assists	0	61	0.000	0	26		0
5676a9ba	TotalControl	kills	0	241	0.000	0	31		0
5676a9ba	TotalControl	assists	0	83	0.000	0	31		0
16ea3668	CTF	kills	74	74	1.000	0	8		0
16ea3668	CTF	assists	31	31	1.000	0	8		0
58864b3c	CTF	kills	27	27	1.000	0	8		0
58864b3c	CTF	assists	8	8	1.000	0	8		0
7fce3219	CTF	kills	169	169	1.000	0	8		0
7fce3219	CTF	assists	70	70	1.000	0	8		0
8bc6074f	CTF	kills	81	81	1.000	0	10		0
8bc6074f	CTF	assists	38	38	1.000	0	10		0
a0c36016	CTF	kills	137	137	1.000	0	8		0
a0c36016	CTF	assists	61	61	1.000	0	8		0
b8a44fe8	CTF	kills	124	124	1.000	0	8		0
b8a44fe8	CTF	assists	44	44	1.000	0	8		0
bc60b4d9	CTF	kills	81	81	1.000	0	8		0
bc60b4d9	CTF	assists	35	35	1.000	0	8		0
bf5ced1b	CTF	kills	26	26	1.000	0	9		0
bf5ced1b	CTF	assists	11	11	1.000	0	9		0
cde26226	CTF	kills	163	163	1.000	0	8		0
cde26226	CTF	assists	68	68	1.000	0	8		0
f8efc5ca	CTF	kills	81	81	1.000	0	8		0
f8efc5ca	CTF	assists	37	37	1.000	0	8		0
4ecdf3e7	CTF	kills	32	33	0.970	0	10		0
4ecdf3e7	CTF	assists	14	16	0.875	0	10		0
43716616	Oddball	kills	0	62	0.000	0	9		0
43716616	Oddball	assists	0	36	0.000	0	9		0
51ebbc0f	Oddball	kills	0	70	0.000	0	8		0
51ebbc0f	Oddball	assists	0	39	0.000	0	8		0
c88ec007	Oddball	kills	0	126	0.000	0	8		0
c88ec007	Oddball	assists	0	71	0.000	0	8		0
d9781168	Oddball	kills	0	142	0.000	0	8		0
d9781168	Oddball	assists	0	70	0.000	0	8		0
32d9a94f	Strongholds	kills	71	71	1.000	0	8		0
32d9a94f	Strongholds	assists	22	22	1.000	0	8		0
396cfc92	Strongholds	kills	67	67	1.000	0	10		0
396cfc92	Strongholds	assists	27	27	1.000	0	10		0
572e236b	Strongholds	kills	65	66	0.985	0	10		0
572e236b	Strongholds	assists	33	33	1.000	0	10		0
81c02726	Strongholds	kills	43	43	1.000	0	8		0
81c02726	Strongholds	assists	14	14	1.000	0	8		0
e60aaf06	Strongholds	kills	72	72	1.000	0	8		0
e60aaf06	Strongholds	assists	33	33	1.000	0	8		0
