film	famille	mode	images_portees	images_muettes	pct_muettes	periodes	periodes_avec_trou	images_muettes_expliquees_vehicule
16ea3668	CTF	CTF:Arena	1890	0	0.0	28	0	0
58864b3c	CTF	CTF:Arena	1137	0	0.0	19	0	0
7fce3219	CTF	CTF:Arena	1885	0	0.0	85	0	0
8bc6074f	CTF	CTF:Arena	2147	0	0.0	51	0	0
a0c36016	CTF	CTF:Arena	1664	0	0.0	49	0	0
b8a44fe8	CTF	CTF:Arena	5519	258	4.7	60	2	0
bc60b4d9	CTF	CTF:Arena	1287	0	0.0	29	0	0
bf5ced1b	CTF	CTF:Arena	390	0	0.0	10	0	0
cde26226	CTF	CTF:Arena	5071	134	2.6	79	1	0
f8efc5ca	CTF	CTF:Arena	2000	0	0.0	34	0	0
4ecdf3e7	CTF	CTF:Arena Neutral Flag	979	2	0.2	25	1	0
