film	carte	mode	secures_publiees	secures_oracle	ratio	joueurs_au_dessus	joueurs_publies	refuse_par_effectif
16ea3668	Aquarius	CTF:Arena	7	7	1.000	0	5	0
4ecdf3e7	High Ground	CTF:Arena Neutral Flag	0	11	0.000	0	0	96
58864b3c	Domicile	CTF:Arena	13	13	1.000	0	5	0
64e8adfa	Catalyst	CTF:Arena	46	46	1.000	0	8	0
7fce3219	Takamanohara	CTF:Arena	15	15	1.000	0	7	0
8bc6074f	Origin	CTF:Arena	0	20	0.000	0	0	218
a0c36016	Forest	CTF:Arena	16	16	1.000	0	7	0
b8a44fe8	Forest	CTF:Arena	43	43	1.000	0	7	0
bc60b4d9	Illusion	CTF:Arena	12	12	1.000	0	4	0
bf5ced1b	Illusion	CTF:Arena	5	5	1.000	0	3	0
cde26226	Critical Dewpoint	CTF:Arena	38	38	1.000	0	8	0
f8efc5ca	Absolution	CTF:Arena	21	21	1.000	0	6	0
fb1a1a72	Banished Narrows	CTF:Arena	17	17	1.000	0	5	0
TOTAL			233	264	0.883	0		
