film	famille	mode	carte	duree_s	schema	frames	manches	flagCarries_calque	flagFilm	flag_openings	flag_carries	flag_noBridge	zoneStates	zones_captures	zones_attributed	skullCarries	bombCarries	obj_available	obj_attached	obj_noSlot	obj_outOfWindow	oracle_lignes
4f77afc1	CTF	BTB:CTF	Flood Gulch	1194	51	11111	1	non	false	0	0	0	0			0	0	253	253	0	0	36
879a4dba	CTF	BTB:CTF	Fortitude	415	51	3950	1	non	false	0	0	0	0			0	0	99	99	0	0	26
5676a9ba	TotalControl	BTB:Total Control	Insolence	682	51	6618	1	non	false	0	0	0	0			0	0	178	178	0	0	31
16ea3668	CTF	CTF:Arena	Aquarius	417	51	3971	1	oui	true	29	29	0	0			0	0	9700	9636	0	64	8
58864b3c	CTF	CTF:Arena	Domicile	196	51	1957	1	oui	true	20	20	0	0			0	0	64	64	0	0	8
7fce3219	CTF	CTF:Arena	Takamanohara	919	51	9144	2	oui	true	85	85	0	0			0	0	348	348	0	0	8
8bc6074f	CTF	CTF:Arena	Origin	486	51	4791	1	oui	true	54	53	0	0			0	0	15808	15808	0	0	10
a0c36016	CTF	CTF:Arena	Forest	766	51	7684	1	oui	true	49	49	0	0			0	0	361	361	0	0	8
b8a44fe8	CTF	CTF:Arena	Forest	754	51	7573	1	oui	true	63	63	0	0			0	0	254	254	0	0	8
bc60b4d9	CTF	CTF:Arena	Illusion	414	51	3920	1	oui	true	31	31	0	0			0	0	177	177	0	0	8
bf5ced1b	CTF	CTF:Arena	Illusion	156	51	1301	1	oui	true	12	12	0	0			0	0	54	54	0	0	9
cde26226	CTF	CTF:Arena	Critical Dewpoint	942	51	9388	2	oui	true	89	88	0	0			0	0	415	415	0	0	8
f8efc5ca	CTF	CTF:Arena	Absolution	416	51	4089	1	oui	true	35	35	0	0			0	0	15784	15784	0	0	8
4ecdf3e7	CTF	CTF:Arena Neutral Flag	High Ground	297	51	2714	1	oui	true	26	25	0	0			0	0	86	86	0	0	10
0d265ab0	SansObjectif	Slayer:Arena	Sylvanus	558	51	5518	1	non	false	0	0	0	0			0	0	0	0	0	0	0
72b0a25e	SansObjectif	Slayer:Arena	Banished Narrows	448	51	4158	3	non	false	0	0	0	0			0	0	0	0	0	0	0
7b0d89c4	SansObjectif	Slayer:Arena	Behemoth	599	51	6024	1	non	false	0	0	0	0			0	0	0	0	0	0	0
b1ad85eb	SansObjectif	Slayer:Arena	Domicile	522	51	5096	1	non	false	0	0	0	0			0	0	0	0	0	0	0
e1259a69	SansObjectif	Slayer:Arena	Takamanohara	543	51	5156	1	non	false	0	0	0	0			0	0	0	0	0	0	0
efe716b4	SansObjectif	Slayer:Arena	Fortress	688	51	6781	1	non	false	0	0	0	0			0	0	0	0	0	0	0
