film	famille	mode	xuid	gamertag	periodes	publie_s	oracle_s	ecart_s	ratio	depasse_oracle
4f77afc1	CTF	BTB:CTF	2533274798159764		0	0.0	0.2	-0.2	0.000	false
4f77afc1	CTF	BTB:CTF	2533274858283686		0	0.0	1.2	-1.2	0.000	false
4f77afc1	CTF	BTB:CTF	2533274988198027		0	0.0	1.8	-1.8	0.000	false
4f77afc1	CTF	BTB:CTF	2535418140736812		0	0.0	13.9	-13.9	0.000	false
4f77afc1	CTF	BTB:CTF	2535420159292452		0	0.0	3.2	-3.2	0.000	false
4f77afc1	CTF	BTB:CTF	2535447170907787		0	0.0	1.1	-1.1	0.000	false
4f77afc1	CTF	BTB:CTF	2535457217346540		0	0.0	13.0	-13.0	0.000	false
4f77afc1	CTF	BTB:CTF	2535457514480546		0	0.0	29.2	-29.2	0.000	false
4f77afc1	CTF	BTB:CTF	2535462972817970		0	0.0	9.6	-9.6	0.000	false
879a4dba	CTF	BTB:CTF	2533274817737470		0	0.0	1.1	-1.1	0.000	false
879a4dba	CTF	BTB:CTF	2533274823110022	JGtm	0	0.0	1.6	-1.6	0.000	false
879a4dba	CTF	BTB:CTF	2533274858283686		0	0.0	12.0	-12.0	0.000	false
879a4dba	CTF	BTB:CTF	2533274893737372		0	0.0	3.3	-3.3	0.000	false
879a4dba	CTF	BTB:CTF	2533274920570623		0	0.0	38.9	-38.9	0.000	false
879a4dba	CTF	BTB:CTF	2535405728090473		0	0.0	13.8	-13.8	0.000	false
879a4dba	CTF	BTB:CTF	2535432231421181		0	0.0	46.9	-46.9	0.000	false
879a4dba	CTF	BTB:CTF	2535443641007500		0	0.0	2.0	-2.0	0.000	false
879a4dba	CTF	BTB:CTF	2535457217346540		0	0.0	16.5	-16.5	0.000	false
879a4dba	CTF	BTB:CTF	2535458469688663		0	0.0	3.1	-3.1	0.000	false
879a4dba	CTF	BTB:CTF	2535460487570599		0	0.0	47.5	-47.5	0.000	false
879a4dba	CTF	BTB:CTF	2535462209962245		0	0.0	4.5	-4.5	0.000	false
879a4dba	CTF	BTB:CTF	2667980672122182		0	0.0	1.8	-1.8	0.000	false
16ea3668	CTF	CTF:Arena	2533274858283686		5	38.5	30.9	7.6	1.246	true
16ea3668	CTF	CTF:Arena	2533275034585819		1	10.3	5.5	4.8	1.873	true
16ea3668	CTF	CTF:Arena	2535417044536883		1	56.7	0.9	55.8	63.000	true
16ea3668	CTF	CTF:Arena	2535447614023932		2	22.5	16.3	6.2	1.380	true
16ea3668	CTF	CTF:Arena	2535466949313010		4	34.5	31.2	3.3	1.106	true
16ea3668	CTF	CTF:Arena	2598952284978039		3	50.3	46.2	4.1	1.089	true
58864b3c	CTF	CTF:Arena	2533274822170595		1	37.6	37.4	0.2	1.005	true
58864b3c	CTF	CTF:Arena	2533274823110022	JGtm	1	18.6	13.5	5.1	1.378	true
58864b3c	CTF	CTF:Arena	2533274829350000		1	20.6	13.2	7.4	1.561	true
58864b3c	CTF	CTF:Arena	2533274858283686		2	24.4	9.3	15.1	2.624	true
58864b3c	CTF	CTF:Arena	2535452521259564		2	34.8	26.8	8.0	1.299	true
58864b3c	CTF	CTF:Arena	2535469190789936		3	23.5	9.9	13.6	2.374	true
7fce3219	CTF	CTF:Arena	2533274823110022	JGtm	1	10.0	8.0	2.0	1.250	true
7fce3219	CTF	CTF:Arena	2533274858283686		3	25.4	12.9	12.5	1.969	true
7fce3219	CTF	CTF:Arena	2533274943116584		1	5.6	0.4	5.2	14.000	true
7fce3219	CTF	CTF:Arena	2533274955626571		4	65.9	40.2	25.7	1.639	true
7fce3219	CTF	CTF:Arena	2535415254450151		6	74.2	63.3	10.9	1.172	true
7fce3219	CTF	CTF:Arena	2535458465148583		1	2.8	2.7	0.1	1.037	true
7fce3219	CTF	CTF:Arena	2535469190789936		3	37.0	21.6	15.4	1.713	true
7fce3219	CTF	CTF:Arena	2654577101798078		3	40.8	24.8	16.0	1.645	true
8bc6074f	CTF	CTF:Arena	2533274823110022		2	69.3	32.4	36.9	2.139	true
8bc6074f	CTF	CTF:Arena	2533274829350000		2	63.8	41.6	22.2	1.534	true
8bc6074f	CTF	CTF:Arena	2533274833178266	XxDaemonGamerxX	3	13.1	12.8	0.3	1.023	true
8bc6074f	CTF	CTF:Arena	2533274858283686		1	14.1	9.1	5.0	1.549	true
8bc6074f	CTF	CTF:Arena	2535449383340628		4	80.8	42.4	38.4	1.906	true
8bc6074f	CTF	CTF:Arena	2535450759128461		2	39.1	26.8	12.3	1.459	true
8bc6074f	CTF	CTF:Arena	2535452521259564		2	28.8	12.5	16.3	2.304	true
8bc6074f	CTF	CTF:Arena	2535469190789936		2	39.4	31.7	7.7	1.243	true
a0c36016	CTF	CTF:Arena	2533274823110022	JGtm	1	1.4	1.4	0.0	1.000	false
a0c36016	CTF	CTF:Arena	2533274858283686		3	37.5	32.3	5.2	1.161	true
a0c36016	CTF	CTF:Arena	2533274858911298		5	60.0	41.5	18.5	1.446	true
a0c36016	CTF	CTF:Arena	2535425652517893		4	64.3	20.1	44.2	3.199	true
a0c36016	CTF	CTF:Arena	2535427927026623		2	28.3	5.0	23.3	5.660	true
a0c36016	CTF	CTF:Arena	2535448372866366		2	3.2	3.0	0.2	1.067	true
a0c36016	CTF	CTF:Arena	2535456861208728		3	19.4	9.4	10.0	2.064	true
a0c36016	CTF	CTF:Arena	2535469190789936		4	49.2	43.8	5.4	1.123	true
b8a44fe8	CTF	CTF:Arena	2533274823110022		2	25.6	17.2	8.4	1.488	true
b8a44fe8	CTF	CTF:Arena	2533274858283686		7	342.9	271.8	71.1	1.262	true
b8a44fe8	CTF	CTF:Arena	2533274858911298		2	56.5	28.4	28.1	1.989	true
b8a44fe8	CTF	CTF:Arena	2533274897257135		2	9.3	9.0	0.3	1.033	true
b8a44fe8	CTF	CTF:Arena	2535442462807197		5	223.9	59.0	164.9	3.795	true
b8a44fe8	CTF	CTF:Arena	2535455799302553		6	37.2	14.9	22.3	2.497	true
b8a44fe8	CTF	CTF:Arena	2535469190789936	Chocoboflor	1	0.8	0.8	0.0	1.000	false
bc60b4d9	CTF	CTF:Arena	2533274823110022	JGtm	2	9.2	8.8	0.4	1.045	true
bc60b4d9	CTF	CTF:Arena	2533274897645479		3	50.5	41.3	9.2	1.223	true
bc60b4d9	CTF	CTF:Arena	2533274924336100		4	18.8	18.2	0.6	1.033	true
bc60b4d9	CTF	CTF:Arena	2533274943116584		2	10.9	9.1	1.8	1.198	true
bc60b4d9	CTF	CTF:Arena	2535458465148583		1	1.8	1.6	0.2	1.125	true
