Niveau,Icône,Grade,Score/EXP requis,Score/EXP total,Élément débloqué,Tier
0,Fichier:HINF Recruit.png,Recrue (Recruit),0,0,N/A,Bronze
1,Fichier:HINF Bronze Cadet 1.png,Cadet 1 (Cadet 1),100,100,N/A,Bronze
2,Fichier:HINF Bronze Cadet 2.png,Cadet 2 (Cadet 2),1 000,1 100,N/A,Bronze
3,Fichier:HINF Bronze Cadet 3.png,Cadet 3 (Cadet 3),1 250,2 350,N/A,Bronze
4,Fichier:HINF Bronze Private 1.png,Soldat 1 (Soldat 1),1 500,3 850,N/A,Bronze
5,Fichier:HINF Bronze Private 2.png,Soldat 2 (Private 2),1 000,4 850,N/A,Bronze
6,Fichier:HINF Bronze Private 3.png,Soldat 3 (Private 3),1 250,6 100,N/A,Bronze
7,Fichier:HINF Bronze Lance Corporal 1.png,Caporal suppléant 1 (Lance Corporal 1),1 750,7 850,N/A,Bronze
8,Fichier:HINF Bronze Lance Corporal 2.png,Caporal suppléant 2 (Lance Corporal 2),1 250,9 100,N/A,Bronze
9,Fichier:HINF Bronze Lance Corporal 3.png,Caporal suppléant 3 (Lance Corporal 3),1 500,10 600,N/A,Bronze
10,Fichier:HINF Bronze Corporal 1.png,Caporal 1 (Corporal 1),1 750,12 350,Emblème Caporal de bronze,Bronze
11,Fichier:HINF Bronze Corporal 2.png,Caporal 2 (Corporal 2),1 250,13 600,N/A,Bronze
12,Fichier:HINF Bronze Corporal 3.png,Caporal 3 (Corporal 3),1 500,15 100,N/A,Bronze
13,Fichier:HINF Bronze Sergeant 1.png,Sergent 1 (Sergeant 1),2 000,17 100,N/A,Bronze
14,Fichier:HINF Bronze Sergeant 2.png,Sergent 2 (Sergeant 2),1 500,18 600,N/A,Bronze
15,Fichier:HINF Bronze Sergeant 3.png,Sergent 3 (Sergeant 3),1 750,20 350,N/A,Bronze
16,Fichier:HINF Bronze Staff Sergeant 1.png,Sergent-chef 1 (Staff Sergeant 1),2 250,22 600,N/A,Bronze
17,Fichier:HINF Bronze Staff Sergeant 2.png,Sergent-chef 2 (Staff Sergeant 2),1 500,24 100,N/A,Bronze
18,Fichier:HINF Bronze Staff Sergeant 3.png,Sergent-chef 3 (Staff Sergeant 3),1 750,25 850,N/A,Bronze
19,Fichier:HINF Bronze Gunnery Sergeant 1.png,Sergent d'artillerie 1 (Gunnery Sergeant 1),2 500,28 350,N/A,Bronze
20,Fichier:HINF Bronze Gunnery Sergeant 2.png,Sergent d'artillerie 2 (Gunnery Sergeant 2),1 750,30 100,N/A,Bronze
21,Fichier:HINF Bronze Gunnery Sergeant 3.png,Sergent d'artillerie 3 (Gunnery Sergeant 3),2 000,32 100,N/A,Bronze
22,Fichier:HINF Bronze Master Sergeant 1.png,Adjudant 1 (Master Sergeant 1),2 750,34 850,Emblème Adjudant de bronze,Bronze
23,Fichier:HINF Bronze Master Sergeant 2.png,Adjudant 2 (Master Sergeant 2),1 750,36 600,N/A,Bronze
24,Fichier:HINF Bronze Master Sergeant 3.png,Adjudant 3 (Master Sergeant 3),2 250,38 850,N/A,Bronze
25,Fichier:HINF Bronze Lieutenant 1.png,Lieutenant 1 (Lieutenant 1),3 000,41 850,N/A,Bronze
26,Fichier:HINF Bronze Lieutenant 2.png,Lieutenant 2 (Lieutenant 2),2 000,43 850,N/A,Bronze
27,Fichier:HINF Bronze Lieutenant 3.png,Lieutenant 3 (Lieutenant 3),2 500,46 350,N/A,Bronze
28,Fichier:HINF Bronze Captain 1.png,Capitaine 1 (Captain 1),3 250,49 600,N/A,Bronze
29,Fichier:HINF Bronze Captain 2.png,Capitaine 2 (Captain 2),2 250,51 850,N/A,Bronze
30,Fichier:HINF Bronze Captain 3.png,Capitaine 3 (Captain 3),2 750,54 600,N/A,Bronze
31,Fichier:HINF Bronze Major 1.png,Lieutenant-major 1 (Major 1),3 500,58 100,Emblème Lieutenant-major de bronze,Bronze
32,Fichier:HINF Bronze Major 2.png,Lieutenant-major 2 (Major 2),2 500,60 600,N/A,Bronze
33,Fichier:HINF Bronze Major 3.png,Lieutenant-major 3 (Major 3),3 000,63 600,N/A,Bronze
34,Fichier:HINF Bronze Lieutenant Colonel 1.png,Lieutenant-colonel 1 (Lieutenant Colonel 1),3 750,67 350,N/A,Bronze
35,Fichier:HINF Bronze Lieutenant Colonel 2.png,Lieutenant-colonel 2 (Lieutenant Colonel 2),2 750,70 100,N/A,Bronze
36,Fichier:HINF Bronze Lieutenant Colonel 3.png,Lieutenant-colonel 3 (Lieutenant Colonel 3),3 250,73 350,N/A,Bronze
37,Fichier:HINF Bronze Colonel 1.png,Colonel 1 (Colonel 1),4 000,77 350,Emblème Colonel de bronze,Bronze
38,Fichier:HINF Bronze Colonel 2.png,Colonel 2 (Colonel 2),3 000,80 350,N/A,Bronze
39,Fichier:HINF Bronze Colonel 3.png,Colonel 3 (Colonel 3),3 500,83 850,N/A,Bronze
40,Fichier:HINF Bronze Brigadier General 1.png,Général de brigade 1 (Brigadier General 1),4 500,88 350,N/A,Bronze
41,Fichier:HINF Bronze Brigadier General 2.png,Général de brigade 2 (Brigadier General 2),3 250,91 600,N/A,Bronze
42,Fichier:HINF Bronze Brigadier General 3.png,Général de brigade 3 (Brigadier General 3),3 750,95 350,Emblème Général de bronze,Bronze
43,Fichier:HINF Bronze General 1.png,Général 1 (General 1),5 000,100 350,N/A,Bronze
44,Fichier:HINF Bronze General 2.png,Général 2 (General 2),3 500,103 850,N/A,Bronze
45,Fichier:HINF Bronze General 3.png,Général 3 (General 3),4 000,107 850,N/A,Bronze
46,Fichier:HINF Silver Cadet 1.png,Cadet 1 (Cadet 1),5 250,113 100,N/A,Argent
47,Fichier:HINF Silver Cadet 2.png,Cadet 2 (Cadet 2),2 500,115 350,N/A,Argent
48,Fichier:HINF Silver Cadet 3.png,Cadet 3 (Cadet 3),3 250,117 850,N/A,Argent
49,Fichier:HINF Silver Private 1.png,Soldat 1 (Private 1),2 250,121 100,N/A,Argent
50,Fichier:HINF Silver Private 2.png,Soldat 2 (Private 2),2 750,123 350,N/A,Argent
51,Fichier:HINF Silver Private 3.png,Soldat 3 (Private 3),3 750,126 100,N/A,Argent
52,Fichier:HINF Silver Lance Corporal 1.png,Caporal suppléant 1 (Lance Corporal 1),2 500,129 850,N/A,Argent
53,Fichier:HINF Silver Lance Corporal 1.png,Caporal suppléant 2 (Lance Corporal 2),3 000,132 350,N/A,Argent
54,Fichier:HINF Silver Lance Corporal 1.png,Caporal suppléant 3 (Lance Corporal 3),4 000,135 350,N/A,Argent
55,Fichier:HINF Silver Corporal 1.png,Caporal 1 (Corporal 1),2 750,139 350,Emblème Caporal d'argent,Argent
56,Fichier:HINF Silver Corporal 2.png,Caporal 2 (Corporal 2),3 250,142 100,N/A,Argent
57,Fichier:HINF Silver Corporal 3.png,Caporal 3 (Corporal 3),4 250,145 350,N/A,Argent
58,Fichier:HINF Silver Sergeant 1.png,Sergent 1 (Sergeant 1),3 000,149 600,N/A,Argent
