pair_name_exemple,prefix,mode_category_go,game_variant_name,mode_canonical,experience_playlist,lusr_bucket_propose,notes
Arena:Slayer on Bazaar,Arena,Assassin,Slayer,slayer,social,assassin_slayer,
Arena:Team Slayer on Bazaar,Arena,Assassin,Team Slayer,slayer,social,assassin_slayer,
Arena:FFA Slayer on Bazaar,Arena,Assassin,FFA Slayer,slayer,social,assassin_slayer,Free For All
Arena:Escalation Slayer on Recharge,Arena,Assassin,Escalation Slayer,slayer,social,assassin_slayer,
Arena:Attrition on Live Fire,Arena,Assassin,Attrition,attrition,social,assassin_slayer,Vies partagees par equipe - slayer-like
Arena:Elimination on Bazaar,Arena,Assassin,Elimination,unknown,social,assassin_slayer,mode_canonical=unknown - last team standing - slayer-like
Arena:CTF on Recharge,Arena,Assassin,CTF,ctf,social,assassin_objectif,
Arena:Neutral Flag CTF on Live Fire,Arena,Assassin,Neutral Flag CTF,ctf,social,assassin_objectif,
Arena:One Flag CTF on Highpower,Arena,Assassin,One Flag CTF,ctf,social,assassin_objectif,
Arena:Strongholds on Streets,Arena,Assassin,Strongholds,strongholds,social,assassin_objectif,
Arena:Oddball on Aquarius,Arena,Assassin,Oddball,oddball,social,assassin_objectif,
Arena:King of the Hill on Catalyst,Arena,Assassin,King of the Hill,koth,social,assassin_objectif,
Arena:Total Control on Fragmentation,Arena,Assassin,Total Control,total_control,social,assassin_objectif,
Arena:Land Grab on Recharge,Arena,Assassin,Land Grab,unknown,social,assassin_objectif,mode_canonical=unknown - PROPOSE objectif (zone control) - A VERIFIER
Arena:Extraction on Live Fire,Arena,Assassin,Extraction,extraction,social,assassin_objectif,
Arena:Stockpile on Deadlock,Arena,Assassin,Stockpile,stockpile,social,assassin_objectif,Collecte de power seeds
Tactical:Slayer on Recharge,Tactical,Assassin,Tactical Slayer,slayer,social,assassin_slayer,DISCORDANCE: playlist nommee 'swat' detectee fun dans GetPlaylistGroup actuel - propose slayer ici
Tactical:Precision Slayer on Bazaar,Tactical,Assassin,Precision Slayer,slayer,social,assassin_slayer,
Assault:CTF on Highpower,Assault,Assassin,CTF,ctf,social,assassin_objectif,
Assault:Slayer on Bazaar,Assault,Assassin,Slayer,slayer,social,assassin_slayer,
Community:Team Slayer on Solution,Community,Assassin,Team Slayer,slayer,social,assassin_slayer,
Community:Oddball on Live Fire,Community,Assassin,Oddball,oddball,social,assassin_objectif,
Community:CTF on Bazaar,Community,Assassin,CTF,ctf,social,assassin_objectif,
BTB:Slayer on Fragmentation,BTB,BTB,Slayer,slayer,btb,btb,Un seul bucket BTB tous modes
BTB:Team Slayer on Highpower,BTB,BTB,Team Slayer,slayer,btb,btb,
BTB:CTF on Highpower,BTB,BTB,CTF,ctf,btb,btb,
BTB:Strongholds on Fragmentation,BTB,BTB,Strongholds,strongholds,btb,btb,
BTB:Oddball on Deadlock,BTB,BTB,Oddball,oddball,btb,btb,
BTB:Total Control on Fragmentation,BTB,BTB,Total Control,total_control,btb,btb,
BTB:Stockpile on Highpower,BTB,BTB,Stockpile,stockpile,btb,btb,
BTB:Land Grab on Highpower,BTB,BTB,Land Grab,unknown,btb,btb,
