# filmdec totalHits=807855 recordsEcrits=807855
eid,typeIndex,compIndex,param4,bitCursor,skipCount
1073742360,35,0,1,312,0
1073742360,35,1,1,359,0
1073742360,35,5,1,390,0
1073742360,35,25,1,419,0
1073741826,2,5,1,29,0
1073741947,4,0,0,93,0
1073741950,21,13,0,128,0
1073742352,35,0,1,169,0
1073742352,35,25,1,216,0
1073742353,35,0,1,265,0
1073742353,35,5,1,312,0
1073742353,35,25,1,341,0
1073742360,35,0,1,402,0
1073742360,35,1,1,449,0
1073742360,35,5,1,480,0
1073742360,35,21,1,509,0
1073742360,35,25,1,534,0
1073742364,35,0,1,589,0
1073742364,35,1,1,636,0
1073742364,35,21,1,667,0
1073742364,35,25,1,692,0
1073742365,35,0,1,747,0
1073742365,35,1,1,794,0
1073742365,35,21,1,825,0
1073742365,35,25,1,850,0
1073743111,43,18,1,893,0
1073743111,43,35,1,908,0
1073743579,37,1,1,998,0
1073743579,37,3,1,999,0
1073743602,42,0,1,1039,0
1073743602,42,1,1,1084,0
1073743602,42,2,1,1114,0
1073743603,42,0,1,1181,0
1073743603,42,1,1,1226,0
1073743603,42,2,1,1256,0
1073743605,37,0,1,1323,0
1073743605,37,1,1,1368,0
1073743605,37,2,1,1398,0
1073743607,37,0,1,1465,0
1073743607,37,1,1,1510,0
1073743607,37,2,1,1540,0
1073743609,37,0,1,1607,0
1073743609,37,1,1,1652,0
1073743609,37,2,1,1682,0
1073743612,42,0,1,1749,0
1073743612,42,1,1,1794,0
1073743612,42,2,1,1824,0
1073743613,42,0,1,1885,0
1073743613,42,1,1,1930,0
1073743615,37,0,1,1993,0
1073743615,37,1,1,2038,0
1073743617,37,0,1,2113,0
1073743617,37,1,1,2158,0
1073743617,37,2,1,2188,0
1073743617,37,3,1,2216,0
1073742360,35,0,1,402,0
1073742360,35,1,1,449,0
1073742360,35,5,1,480,0
1073742360,35,21,1,509,0
1073742360,35,25,1,534,0
1073741947,4,0,0,29,0
1073742353,35,0,1,76,0
