index,min_x,min_y,max_x,max_y,top_z,bottom_z,pos_x,pos_y,pos_z,mesh_index,flags,flags2,area_m2
0,-8.8191,-1.7915,-6.8049,-1.5805,-2.8668,-4.0669,-7.8120,-1.6860,-3.4668,0,0,2,0.4250
1,-5.4104,-2.8864,-2.3941,-1.9728,-4.5492,-5.8021,-3.9023,-2.4296,-5.1756,0,0,0,2.7555
2,-2.7361,-3.9259,-1.4303,-2.5266,-4.4997,-5.5107,-2.0832,-3.2263,-5.0052,0,0,0,1.8274
3,-16.4821,-15.5567,-4.3938,-3.4699,-18.3324,-32.8163,-10.4380,-9.5133,-25.5744,0,0,0,146.1095
4,-20.6407,-8.4146,-11.7957,5.1612,-18.7117,-34.4955,-16.2182,-1.6267,-26.6036,0,0,0,120.0773
5,-10.3682,8.6157,-6.8906,11.9030,-0.4053,-3.8154,-8.8147,12.2716,-0.9070,0,0,0,11.4318
6,-10.7660,8.1627,-6.8449,16.3827,2.0006,-3.8149,-8.8147,12.2716,-0.9070,1,0,0,32.2314
7,-10.7847,8.1605,-6.8447,16.3827,2.0014,-3.8154,-8.8147,12.2716,-0.9070,2,0,1,32.3956
8,-10.2308,8.7521,-7.0277,11.7655,-0.4254,-0.4882,-8.8147,12.2716,-0.9070,3,0,0,9.6522
9,-10.9034,11.4519,-1.2192,22.4780,-1.1969,-4.2375,-6.0613,16.9648,-2.7172,0,0,0,106.7792
10,-10.9034,11.4516,-1.2192,22.4780,-1.1969,-4.2292,-6.0613,16.9648,-2.7172,1,0,0,106.7825
11,-8.4926,11.6978,-1.2507,18.6812,-1.2021,-2.1288,-6.0613,16.9648,-2.7172,2,0,1,50.5733
12,-7.1738,8.3827,-4.6515,12.1105,-1.2090,-3.2398,-5.9119,10.1817,-2.2176,0,0,0,9.4024
13,-6.8681,8.2718,-4.9511,12.0919,-1.1905,-3.2446,-5.9119,10.1817,-2.2176,1,0,0,7.3231
14,-5.2306,9.0568,-4.8881,11.9907,-1.2127,-2.7510,-5.9119,10.1817,-2.2176,2,0,0,1.0048
15,-7.1843,8.2442,-4.6431,12.1190,-1.1931,-3.2400,-5.9119,10.1817,-2.2176,3,0,0,9.8465
16,-1.4270,19.8868,1.7449,23.0587,-1.9463,-4.0039,-1.0528,20.2352,-2.5906,0,0,0,10.0614
17,-3.9170,17.3712,1.8059,23.0941,-1.1869,-2.5878,-1.0528,20.2352,-2.5906,1,0,0,32.7513
18,-3.9170,17.3709,1.8062,23.0941,-1.1865,-4.0040,-1.0528,20.2352,-2.5906,2,0,1,32.7548
