type_hint	medal_type	films	medaille
50	26	262	3233952928=Abats, joie
50	36	16	3488248720=Interception
50	37	1	976049027=Bataille de drapeaux
50	62	17	2477555653=Œil de lynx
50	63	1	1685043466=Chasseur de trésor
50	65	66	1284032216=Ailier
50	67	1	3783455472=Artilleur
50	68	3	3027762381=Conducteur
50	69	3	2593226288=Pilote
50	71	88	2852571933=Tirailleur
50	72	119	1146876011=Bombardier
50	73	18	2648272972=Grenadier
50	74	80	269174970=Boxeur
50	75	107	1210678802=Guerrier
50	76	204	1172766553=Flingueur
50	77	13	3347922939=Roi du pompe
50	78	79	4277328263=Tireur d'élite
50	79	77	2758320809=Tireur d'élite
50	80	1	4086138034=Mitrailleur
50	81	10	555849395=Garde du corps
50	82	171	548533137=Par derrière
50	88	55	2418616582=Harponneur
50	91	94	87172902=Corbeau d'Odin
50	97	8	731054446=Détournement
50	98	125	3655682764=Collage
50	101	64	3546244406=Kong
50	105	264	2123530881=Revirement
50	108	191	4229934157=Sniper
50	117	98	3334154676=Ange gardien
50	120	11	1969067783=Réaction en chaîne
50	127	232	2625820422=Frag d'outre-tombe
50	131	155	3091261182=Chargeur vide
50	135	70	2861418269=Plus vite que votre ombre
50	139	4	1445036152=Dépositaire
50	142	3	275666139=Livraison spéciale
50	151	11	1472686630=Zonard
50	156	11	221693153=Écrasement
50	165	85	2750622016=Déblayage
100	0	242	622331684=Double frag
100	9	255	2780740615=Folie meurtrière
100	38	9	3227840152=Prise de risque
100	85	62	3114137341=Sur le fil
100	86	14	3905838030=La chance
100	89	8	1880789493=Attention à la marche !
100	92	1	3876426273=Écrabouilleur
100	99	27	1841872491=Marqueur
100	100	124	1734214473=Élan brisé
100	104	8	2827657131=Essuie-glace
100	106	31	3934547153=Belle cloche
100	107	10	265478668=Finisseur
100	109	182	1512363953=Parfait
100	110	83	2414983178=Ricochet
100	111	31	988255960=Tirer et oublier
100	112	20	4215552487=Empaleur
100	113	12	4132863117=Tir au pigeon
100	114	221	2602963073=Tir au jugé
100	129	9	690125105=Abordage
100	130	3	175594566=Jonglage
100	134	75	1283796619=Rodage
100	140	109	1169571763=Décisionnaire
100	141	220	1176569867=Déstockage
100	146	1	3732790338=Juste à temps
100	152	3	580478179=Garde de colline
100	153	3	3630529364=Coup d'arrêt
100	166	4	1331361851=Kill de tourelle
100	168	35	1477806194=Sniper snipé
150	1	134	2063152177=Triple frag
150	10	47	4261842076=Massacre
150	32	32	1169390319=À table
150	84	12	524758914=As de la parade
150	95	3	3059799290=Retour à l'envoyeur
150	102	4	1623236079=Pilote automatique activé
150	103	13	670606868=Furet
150	115	13	3217141618=Talon d'Achille
150	116	31	1646928910=As du swing
150	121	33	1427176344=360
150	122	1	641726424=Passe avec grenade
150	123	1	2396845048=Prise mortelle
150	148	1	781229683=Crâneur
150	177	2	4007438389=Tir au jugé
200	44	5	4100966367=Extermination
200	90	15	3085856613=Ninja
200	93	1	1312042926=Deux-en-un
200	94	3	3160646854=Grenadier
200	125	2	1211820913=Boulet de canon
205	11	3	418532952=Émeute
220	2	14	835814121=À la chaîne
225	3	2	2137071619=Quelle tuerie
