famille	rang	nom	adresse_chaine
Bomb	0	BombDetonations	14381e790
Bomb	1	BombDefusals	14381e8d0
Bomb	2	BombPlants	14381ea10
Bomb	3	BombCarriersKilled	14381eb58
Bomb	4	BombDefusersKilled	14381ec90
Bomb	5	BombPickUps	14381edc0
Bomb	6	BombReturns	14381ef28
Bomb	7	KillsAsBombCarrier	14381f078
Bomb	8	TimeAsBombCarrier	14381f1b8
Core	0	Score	14381a548
Core	1	PersonalScore	14381a6a0
Core	2	RoundsWon	14381a810
Core	3	RoundsLost	14381a9b0
Core	4	RoundsTied	14381ab08
Core	5	Kills	14381ac68
Core	6	Deaths	14381ae10
Core	7	Assists	14381af88
Core	8	KDA	14381b0d8
Core	9	Suicides	14381b250
Core	10	Betrayals	14381b3a8
Core	11	AverageLifeDuration	14381b500
Core	12	GrenadeKills	14381b680
Core	13	HeadshotKills	14381b7f8
Core	14	MeleeKills	14381b920
Core	15	PowerWeaponKills	14381bab8
Core	16	ShotsFired	14381bc20
Core	17	ShotsHit	14381bd60
Core	18	Accuracy	14381be98
Core	19	DamageDealt	14381bff8
Core	20	DamageTaken	14381c148
Core	21	CalloutAssists	14381c288
Core	22	VehicleDestroys	14381c418
Core	23	DriverAssists	14381c568
Core	24	Hijacks	14381c6b8
Core	25	EmpAssists	14381c878
Core	26	MaxKillingSpree	14381ca08
Core	27	Medal	14381cb78
Core	28	Count	14381ccc0
Core	29	TotalPersonalScoreAwarded	14381ce30
Core	30	ObjectivesCompleted	14381cf88
Core	31	SpartanKills	14381d0f8
Core	32	SpartanAssists	14381d298
Core	33	SpartanDeaths	14381d3f0
Core	34	SpartanKDA	14381d4f8
Core	35	AIKills	14381d668
Core	36	AIAssists	14381d798
Core	37	AIDeaths	14381d8f8
Core	38	AIKDA	14381da68
Core	39	MarineKills	14381dbc0
Core	40	GruntKills	14381dd18
Core	41	JackalKills	14381de48
Core	42	EliteKills	14381df90
Core	43	BruteKills	14381e0b0
Core	44	HunterKills	14381e208
Core	45	SkimmerKills	14381e3a8
Core	46	SentinelKills	14381e4f0
Core	47	BossKills	14381e620
Ctf	0	FlagCaptures	14381f2f0
Ctf	1	FlagReturns	14381f440
Ctf	2	FlagSteals	14381f548
Ctf	3	FlagCaptureAssists	14381f658
Ctf	4	FlagCarriersKilled	14381f7b8
Ctf	5	FlagGrabs	14381f8f8
Ctf	6	FlagReturnersKilled	14381fa40
Ctf	7	FlagSecures	14381fbd8
Ctf	8	KillsAsFlagCarrier	14381fd10
Ctf	9	KillsAsFlagReturner	14381fe58
Ctf	10	TimeAsFlagCarrier	14381ffb8
Elim	0	AlliesRevived	143820118
Elim	1	Executions	143820240
Elim	2	RoundsSurvived	143820390
Elim	3	EliminationAssists	143820528
Elim	4	Eliminations	143820658
Elim	5	EnemyRevivesDenied	143820768
Elim	6	KillsAsLastPlayerStanding	1438208d0
Elim	7	LastPlayersStandingKilled	143820a00
Elim	8	TimesRevivedByAlly	143820b60
Elim	9	LivesRemaining	143820cd8
Elim	10	EliminationOrder	143820dd8
Extraction	0	SuccessfulExtractions	143820f00
Extraction	1	ExtractionConversionsCompleted	143821058
Extraction	2	ExtractionInitiationsCompleted	1438211e8
Extraction	3	ExtractionConversionsDenied	143821318
Extraction	4	ExtractionInitiationsDenied	143821480
Infection	0	AlphasKilled	143821610
Infection	1	SpartansInfected	143821728
Infection	2	SpartansInfectedAsAlpha	143821880
Infection	3	KillsAsLastSpartanStanding	143821a10
Infection	4	LastSpartansStandingInfected	143821b68
Infection	5	RoundsAsAlpha	143821cd0
Infection	6	RoundsAsLastSpartanStanding	143821e40
Infection	7	RoundsFinishedAsInfected	143821f80
Infection	8	RoundsSurvivedAsSpartan	1438220d8
Infection	9	RoundsSurvivedAsLastSpartanStanding	143822250
Infection	10	TimeAsLastSpartanStanding	143822400
Infection	11	InfectedKilled	1438225c0
Oddball	0	TimeAsSkullCarrier	143822738
Oddball	1	SkullCarriersKilled	143822908
Oddball	2	KillsAsSkullCarrier	143822a50
Oddball	3	LongestTimeAsSkullCarrier	143822bd0
Oddball	4	SkullGrabs	143822d30
Oddball	5	SkullScoringTicks	143822eb8
Stockpile	0	KillsAsPowerSeedCarrier	143822ff0
Stockpile	1	PowerSeedsDeposited	143823170
Stockpile	2	PowerSeedsStolen	1438232d0
Stockpile	3	PowerSeedCarriersKilled	143823410
Stockpile	4	TimeAsPowerSeedCarrier	143823588
Stockpile	5	TimeAsPowerSeedDriver	143823710
Strongholds	0	StrongholdCaptures	143823888
Strongholds	1	StrongholdSecures	1438239e8
Strongholds	2	StrongholdOccupationTime	143823bc0
Strongholds	3	StrongholdDefensiveKills	143823d28
Strongholds	4	StrongholdOffensiveKills	143823ed8
Strongholds	5	StrongholdScoringTicks	143824070
Vip	0	VipKills	143824228
Vip	1	VipAssists	143824348
Vip	2	KillsAsVip	1438244b8
Vip	3	TimesSelectedAsVip	143824610
Vip	4	MaxBountyCollected	143824750
Vip	5	MaxMultiplierAsVip	1438248c0
Vip	6	MaxKillingSpreeAsVip	143824a20
Vip	7	LongestTimeAsVip	143824b98
Vip	8	TimeAsVip	143824ca8
