mode	composant	cote	observations	recompense
zone	2	A	76	killed_player
zone	3	A	69	kill_assist
zone	5	B	30	killed_player
zone	8	A	29	kill_assist
zone	12	A	76	killed_player
zone	12	B	68	kill_assist
zone	20	B	73	zone_captured
zone	21	A	54	zone_secured
flag	0	A	54	flag_captured
flag	2	A	145	killed_player
flag	3	A	130	kill_assist
flag	5	B	74	flag_captured
flag	6	A	52	flag_stolen
flag	8	A	56	kill_assist
flag	8	B	45	flag_returned
flag	9	A	44	kill_assist
flag	12	A	145	killed_player
flag	12	B	130	kill_assist
flag	20	B	47	flag_capture_assist
flag	21	A	54	flag_captured
flag	21	B	75	runner_stopped
flag	22	A	67	flag_taken
flag	22	B	31	flag_captured
flag	23	A	80	flag_returned
flag	23	B	75	runner_stopped
flag	24	A	105	flag_stolen
flag	25	A	28	kill_assist
