# Halo 5 Spartan Rank (SR) XP thresholds — 152 niveaux
# Source: den.dev/blog/halo-5-spartan-rank-manifest (dump du SpartanRankManifest content-hacs.svc), verifie vs jalons publies
# rank = niveau SR (1..152) ; start_xp = XP cumule au debut du niveau ; xp_to_next = XP pour completer ce niveau (= career_ranks.xp_required ; N/A au max)
rank,start_xp,xp_to_next
1,0,300
2,300,3300
3,3600,3000
4,6600,4100
5,10700,3000
6,13700,3800
7,17500,5000
8,22500,6000
9,28500,8500
10,37000,4000
11,41000,6000
12,47000,7500
13,54500,9000
14,63500,11000
15,74500,12500
16,87000,14500
17,101500,16500
18,118000,19000
19,137000,23000
20,160000,7000
21,167000,9000
22,176000,11500
23,187500,13500
24,201000,16000
25,217000,19000
26,236000,22000
27,258000,24500
28,282500,27500
29,310000,30000
30,340000,9500
31,349500,12000
32,361500,15000
33,376500,17500
34,394000,20500
35,414500,23500
36,438000,26000
37,464000,29000
38,493000,32500
39,525500,36500
40,562000,12000
41,574000,15000
42,589000,18500
43,607500,21500
44,629000,25000
45,654000,28000
46,682000,31500
47,713500,35000
48,748500,38000
49,786500,41500
50,828000,45000
51,873000,49000
52,922000,53500
53,975500,59500
54,1035000,65000
55,1100000,15000
56,1115000,20000
57,1135000,20000
58,1155000,25000
59,1180000,30000
60,1210000,35000
61,1245000,35000
62,1280000,40000
63,1320000,45000
64,1365000,50000
65,1415000,50000
66,1465000,55000
67,1520000,60000
68,1580000,65000
69,1645000,75000
70,1720000,15000
71,1735000,20000
72,1755000,25000
73,1780000,30000
74,1810000,35000
75,1845000,40000
76,1885000,45000
77,1930000,45000
78,1975000,50000
79,2025000,55000
80,2080000,60000
81,2140000,65000
82,2205000,70000
83,2275000,80000
84,2355000,85000
85,2440000,25000
86,2465000,25000
87,2490000,30000
88,2520000,35000
89,2555000,40000
90,2595000,45000
91,2640000,50000
92,2690000,55000
93,2745000,60000
94,2805000,65000
95,2870000,70000
96,2940000,75000
97,3015000,80000
98,3095000,85000
99,3180000,90000
100,3270000,30000
101,3300000,35000
102,3335000,40000
103,3375000,45000
104,3420000,50000
105,3470000,60000
106,3530000,65000
107,3595000,70000
108,3665000,75000
109,3740000,80000
110,3820000,85000
111,3905000,90000
112,3995000,95000
113,4090000,110000
114,4200000,120000
115,4320000,35000
116,4355000,40000
117,4395000,45000
118,4440000,55000
119,4495000,60000
120,4555000,65000
121,4620000,70000
122,4690000,75000
123,4765000,80000
124,4845000,90000
125,4935000,90000
126,5025000,95000
127,5120000,100000
128,5220000,110000
129,5330000,145000
130,5475000,45000
131,5520000,55000
132,5575000,65000
133,5640000,70000
134,5710000,80000
135,5790000,90000
136,5880000,100000
137,5980000,105000
138,6085000,115000
139,6200000,125000
140,6325000,135000
141,6460000,155000
142,6615000,185000
143,6800000,250000
144,7050000,700000
145,7750000,1250000
146,9000000,2050000
147,11050000,2950000
148,14000000,4000000
149,18000000,6000000
150,24000000,11000000
151,35000000,15000000
152,50000000,N/A
