nom,map_id,famille,fond_cle,canevas_declare,declaree_forge,n_ancres,module_cat,mvar_attendu,matchs
944396dd-5661-4a16-b1d8-a6053f762c55,944396dd-5661-4a16-b1d8-a6053f762c55,forge,944396dd-5661-4a16-b1d8-a6053f762c55,fo13_frost,true,20,944396dd-5661-4a16-b1d8-a6053f762c55_map,944396dd-5661-4a16-b1d8-a6053f762c55_map.mvar,1
Absolution,78da545f-a168-4a5e-9c8d-dd379067c352,forge,78da545f-a168-4a5e-9c8d-dd379067c352,fo09_academy,true,22,absolution_map,absolution_map.mvar,21
Banished Narrows,9ad226d8-8947-4c5b-95bc-d220187698c1,forge,9ad226d8-8947-4c5b-95bc-d220187698c1,fo05_desert,true,13,banished_narrows_map,banished_narrows_map.mvar,12
Cliffside,4bffd021-92c0-422b-8b6e-8f595511458c,forge,4bffd021-92c0-422b-8b6e-8f595511458c,fo05_desert,true,14,cliffside_map,cliffside_map.mvar,18
Command,2c9f3490-6be2-4d90-9015-02095651e91e,forge,2c9f3490-6be2-4d90-9015-02095651e91e,fo09_academy,true,43,command_map,command_map.mvar,11
Corpo,8be179f7-8940-4868-b881-44cad1ca8711,forge,8be179f7-8940-4868-b881-44cad1ca8711,fo11_blank,true,4,corpo_map,corpo_map.mvar,2
Credence,0cc728d2-9b4d-4b80-95c9-18c77c095575,forge,0cc728d2-9b4d-4b80-95c9-18c77c095575,fo11_blank,true,50,credence_map,credence_map.mvar,2
Critical Dewpoint,bae4df14-4f4a-424c-aac1-2f795c807146,forge,bae4df14-4f4a-424c-aac1-2f795c807146,fo11_blank,true,11,critical_dewpoint_map,critical_dewpoint_map.mvar,10
Curfew,63d634be-0319-489d-8c21-9c4e012f664f,forge,63d634be-0319-489d-8c21-9c4e012f664f,fo11_blank,true,18,curfew_map,curfew_map.mvar,20
Dawnbreaker,89dd4003-455c-4a1c-bcea-43acd514b20d,forge,89dd4003-455c-4a1c-bcea-43acd514b20d,fo05_desert,true,42,dawnbreaker_map,dawnbreaker_map.mvar,1
Disciple,525451ca-0bfa-4b5c-8a0f-29524e0f2834,forge,525451ca-0bfa-4b5c-8a0f-29524e0f2834,fo11_blank,true,9,disciple_map,disciple_map.mvar,2
Domicile,921aebb1-783d-45e4-bacd-7ad869fa8dae,forge,921aebb1-783d-45e4-bacd-7ad869fa8dae,fo05_desert,true,13,domicile_map,domicile_map.mvar,17
Dredge,e4bb06db-065f-4902-b93b-d8dac315eac4,forge,e4bb06db-065f-4902-b93b-d8dac315eac4,fo06_deepsea,true,12,dredge_map,dredge_map.mvar,16
Dynasty,cfd90b63-62fd-441a-8015-8d7804b9c3c3,forge,cfd90b63-62fd-441a-8015-8d7804b9c3c3,fo08_wetland,true,13,dynasty_map,dynasty_map.mvar,19
Ecotone,8816f240-9038-404b-bbd5-ef4f2b00f482,forge,8816f240-9038-404b-bbd5-ef4f2b00f482,fo11_blank,true,11,ecotone_map,ecotone_map.mvar,8
Elevation,76043dc6-2724-45e2-9b5a-6fe2e75da588,forge,76043dc6-2724-45e2-9b5a-6fe2e75da588,fo11_blank,true,20,elevation_map,elevation_map.mvar,14
Empyrean,d035fc3e-f298-4c14-9487-465be2e1dc1f,forge,d035fc3e-f298-4c14-9487-465be2e1dc1f,fo11_blank,true,13,empyrean_map,empyrean_map.mvar,29
Flood Gulch,7097bc4f-efcf-4c5a-a96e-4ddb03e84d2a,forge,7097bc4f-efcf-4c5a-a96e-4ddb03e84d2a,fo05_desert,true,22,flood_gulch_map,flood_gulch_map.mvar,6
Fortitude,1ede38fa-4d30-4dfa-a8b7-5d08bf4e46e3,forge,1ede38fa-4d30-4dfa-a8b7-5d08bf4e46e3,fo05_desert,true,41,fortitude_map,fortitude_map.mvar,7
Fortitude Heavies,305b1bdd-9a7b-4975-bacf-8bd63c8c13d2,forge,305b1bdd-9a7b-4975-bacf-8bd63c8c13d2,fo05_desert,true,26,fortitude_heavies_map,fortitude_heavies_map.mvar,4
Fortress,0d1c9255-d912-416c-befc-5f3e5e176df2,forge,0d1c9255-d912-416c-befc-5f3e5e176df2,fo09_academy,true,29,fortress_map,fortress_map.mvar,17
Goliath,504ebf22-12b6-46c3-a9c1-ea20ca5bf03c,forge,504ebf22-12b6-46c3-a9c1-ea20ca5bf03c,fo11_blank,true,13,goliath_map,goliath_map.mvar,17
High Ground,bb7b78ae-3468-46ce-b5ba-cca61c3a338a,forge,bb7b78ae-3468-46ce-b5ba-cca61c3a338a,fo08_wetland,true,20,high_ground_map,high_ground_map.mvar,15
Houseki,cf034ec8-ee47-43c2-b2e8-4751c22b3d4d,forge,cf034ec8-ee47-43c2-b2e8-4751c22b3d4d,fo09_academy,true,8,houseki_map,houseki_map.mvar,15
Insolence,d5c5eb4f-0dcb-4677-a866-eae0dcbfde9b,forge,d5c5eb4f-0dcb-4677-a866-eae0dcbfde9b,fo09_academy,true,38,insolence_map,insolence_map.mvar,7
Insolence Heavies,2a339c65-5128-4457-88d4-0906e265034e,forge,2a339c65-5128-4457-88d4-0906e265034e,fo09_academy,true,31,insolence_heavies_map,insolence_heavies_map.mvar,1
Isolation,01af558d-53ab-4f05-ba68-92d805fc6260,forge,01af558d-53ab-4f05-ba68-92d805fc6260,fo08_wetland,true,25,isolation_map,isolation_map.mvar,17
Kaiketsu,98a83f87-2420-48c6-93f8-cc6b62d73235,forge,98a83f87-2420-48c6-93f8-cc6b62d73235,fo05_desert,true,16,kaiketsu_map,kaiketsu_map.mvar,12
Kiken'na,df7dbf08-b8de-4ade-9d7f-1947128c9ae4,forge,df7dbf08-b8de-4ade-9d7f-1947128c9ae4,fo08_wetland,true,13,kiken'na_map,kiken'na_map.mvar,13
Lattice - Ranked,1a6cfc2e-ec86-48e1-9464-1ce1bff6ed48,forge,1a6cfc2e-ec86-48e1-9464-1ce1bff6ed48,fo13_frost,true,9,lattice_-_ranked_map,lattice_-_ranked_map.mvar,1
Merchant's Square,7dfec55d-d968-4a38-aa68-bc31e8874cfd,forge,7dfec55d-d968-4a38-aa68-bc31e8874cfd,fo09_academy,true,9,merchant's_square_map,merchant's_square_map.mvar,2
Nadair,6dbd1c0d-a6c2-4697-8453-f0799d941741,forge,6dbd1c0d-a6c2-4697-8453-f0799d941741,fo11_blank,true,4,nadair_map,nadair_map.mvar,1
Nemesis,2be34415-bc96-4d02-875c-c4f2aa135f89,forge,2be34415-bc96-4d02-875c-c4f2aa135f89,fo08_wetland,true,26,nemesis_map,nemesis_map.mvar,18
Obituary,a289bafe-102e-4363-98f7-80b596007338,forge,a289bafe-102e-4363-98f7-80b596007338,fo09_academy,true,31,obituary_map,obituary_map.mvar,9
Obituary Heavies,e3681516-2930-491c-b94f-7dbfa161e000,forge,e3681516-2930-491c-b94f-7dbfa161e000,fo09_academy,true,31,obituary_heavies_map,obituary_heavies_map.mvar,3
Opulence,255bbe78-b191-476e-b0ae-0763c3bc2f44,forge,255bbe78-b191-476e-b0ae-0763c3bc2f44,fo11_blank,true,13,opulence_map,opulence_map.mvar,12
Origin,b302eb62-da9a-480b-a409-3c89df8c1a04,forge,b302eb62-da9a-480b-a409-3c89df8c1a04,fo08_wetland,true,20,origin_map,origin_map.mvar,24
Origin - Ranked,46a8319c-2c63-46ee-9382-788906dcb049,forge,46a8319c-2c63-46ee-9382-788906dcb049,fo08_wetland,true,20,origin_-_ranked_map,origin_-_ranked_map.mvar,1
Outlook,ea7b30e6-d1b9-4c2c-a9e0-de955c48525d,forge,ea7b30e6-d1b9-4c2c-a9e0-de955c48525d,fo13_frost,true,9,outlook_map,outlook_map.mvar,1
Perilous,c5ac9f12-660e-4f1a-83e7-2e7536bbcb04,forge,c5ac9f12-660e-4f1a-83e7-2e7536bbcb04,fo08_wetland,true,9,perilous_map,perilous_map.mvar,10
Pharaoh,88d45250-97dd-4a28-8fb2-b52baaeebb39,forge,88d45250-97dd-4a28-8fb2-b52baaeebb39,fo11_blank,true,9,pharaoh_map,pharaoh_map.mvar,3
Rat's Nest,133c0185-24ed-4bc2-b834-62db5c936257,forge,133c0185-24ed-4bc2-b834-62db5c936257,fo08_wetland,true,23,rat's_nest_map,rat's_nest_map.mvar,1
Refuge,41217472-3020-4bd8-bce9-b2a2b0d50896,forge,41217472-3020-4bd8-bce9-b2a2b0d50896,fo08_wetland,true,46,refuge_map,refuge_map.mvar,10
Refuge Heavies,c10c7e79-ec91-4f07-92e8-e570ed9ce79c,forge,c10c7e79-ec91-4f07-92e8-e570ed9ce79c,fo08_wetland,true,33,refuge_heavies_map,refuge_heavies_map.mvar,1
Ronin,f459867d-7457-4397-a332-dbbb6812792a,forge,f459867d-7457-4397-a332-dbbb6812792a,fo08_wetland,true,9,ronin_map,ronin_map.mvar,1
