ti	archetype	i	component	level	status	deser_addr	grammar	bits_typ	code_source	doc_field	product_use	meaning_fr	exploitable_fr	confidence	notes
-1	(alias)	-1	biped-action	-1	alias	FUN_142f027f4			traverse.go:875		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-action-component
-1	(alias)	-1	biped-control-context	-1	alias	FUN_14107166c			traverse.go:820		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-control-context-component
-1	(alias)	-1	biped-desired-ability-set	-1	alias	FUN_1406d0ff0			traverse.go:817		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-desired-ability-set-component
-1	(alias)	-1	biped-desired-grenade-set	-1	alias	FUN_140c6a638			traverse.go:814		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-desired-grenade-set-component
-1	(alias)	-1	biped-low-frequency-data	-1	alias	FUN_140fc91e0			traverse.go:826		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-low-frequency-data-component
-1	(alias)	-1	biped-malleable-property	-1	alias	FUN_140ff6764			traverse.go:829		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-malleable-property-component
-1	(alias)	-1	biped-map-editor-flag	-1	alias	FUN_142f02854			traverse.go:823		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-map-editor-flag-component
-1	(alias)	-1	biped-mobility-action	-1	alias	FUN_1408f0264			traverse.go:832		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-mobility-action-component
-1	(alias)	-1	biped-slide	-1	alias	FUN_142f02978			traverse.go:872		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-slide-component
-1	(alias)	-1	biped-spartan-ability-energy	-1	alias	FUN_140fc1410			traverse.go:835		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-spartan-ability-energy-component
-1	(alias)	-1	biped-spartan-ability-non-predicted-state-component	-1	alias	FUN_142f02994			traverse.go:855		aucun	autre orthographe acceptee par le dispatch		haute	alias de biped-spartan-ability-non-predicted-state
-1	(alias)	-1	game-engine-team-mapping	-1	alias	FUN_140f58200			traverse.go:891		aucun	autre orthographe acceptee par le dispatch		haute	alias de game-engine-team-mapping-component
-1	(alias)	-1	simulation-state	-1	alias	FUN_142ED6D88			traverse.go:861		aucun	autre orthographe acceptee par le dispatch		haute	alias de simulation-state-component
-1	(alias)	-1	simulation-state-playback	-1	alias	FUN_142ed6d20			traverse.go:869		aucun	autre orthographe acceptee par le dispatch		haute	alias de simulation-state-playback-component
0	game-engine (le moteur de partie)	0	game-engine-team-mapping-component	27	porte	FUN_140f58200	FUN_140f58200	inconnu	traverse.go:891		aucun — les equipes du rejeu viennent de la base (match_participants), pas du film	la table equipe -> joueurs	Une composition d'equipe LUE DANS LE FILM rendrait le rejeu autonome de la base pour les equipes. Le champ team du film a ete juge non fiable en 2026-06 sur les evenements ; ce composant-la n'a jamais ete evalue.	moyenne	niveau_jeu=1
0	game-engine (le moteur de partie)	1	game-engine-shared-team-lives-component	1	porte	FUN_142f03600	FUN_142f03600	inconnu	traverse.go:353		aucun	les vies partagees de l'equipe	Le compteur de vies d'equipe des modes a elimination.	haute	
0	game-engine (le moteur de partie)	2	game-engine-current-state-component	1	porte	FUN_14116d1d0	R(3)	3	traverse.go:481		aucun	l'etat courant de la partie (avant-match, en cours, terminee)	Le DEBUT REEL du jeu : le rejeu cale aujourd'hui son origine sur le premier paquet, pas sur le coup d'envoi.	haute	
0	game-engine (le moteur de partie)	3	game-engine-game-finished-component	1	porte	FUN_142f035e0			traverse.go:484		aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	4	game-engine-current-round-component	1	porte	FUN_14116fc70	R(1) [si 0 : R(5)]	1-6	traverse.go:739		aucun	la manche en cours	Decouper le rejeu PAR MANCHE (CTF, Strongholds a manches). Aujourd'hui le rejeu est une seule bande continue.	haute	
0	game-engine (le moteur de partie)	5	game-engine-round-timer-component	1	porte	FUN_1407ee790	R(16) + R(16) + R(5)	37	traverse.go:629		aucun — la valeur est capturee et aucun champ du document ne la porte	L'HORLOGE DE MANCHE (le chrono affiche a l'ecran)	Le CHRONO OFFICIEL du match. Le rejeu affiche aujourd'hui un temps derive de l'horloge des paquets ; l'horloge du jeu est deja decodee et jetee. C'est aussi le recalage qui reglerait le decalage originMs signale au registre (3,6 s a 50,8 s sur le calque d'objectifs).	haute	
0	game-engine (le moteur de partie)	6	game-engine-sudden-death-time-left-component	1	porte	FUN_14116d3a4	R(16) + R(16) + R(5)	37	traverse.go:633		aucun	le temps restant en MORT SUBITE	Marquer la mort subite sur la frise du rejeu : un moment de match a fort enjeu, jamais signale.	haute	
0	game-engine (le moteur de partie)	7	game-engine-grace-period-time-left-component	1	porte	FUN_141165d24	R(16) + R(16) + R(5)	37	traverse.go:722		aucun	le temps restant du delai de grace	idem i6	haute	
0	game-engine (le moteur de partie)	8	game-engine-round-condition-flags-component	1	porte	FUN_141132dc0	R(10)	10	traverse.go:727		aucun	les conditions de fin de manche	Dire POURQUOI une manche s'est terminee (temps ecoule, score atteint, forfait).	haute	
0	game-engine (le moteur de partie)	9	game-engine-screen-sequence-component	1	porte	FUN_14101d118	R(4) + R(8)	12	traverse.go:638		aucun	la sequence d'ecran (cinematique, tableau des scores)	inconnu	haute	
0	game-engine (le moteur de partie)	10	game-engine-alliance-component	1	porte	FUN_140a24968	R(32) masque + popcount x (R(32) + R(32))	32+	traverse.go:730		aucun	les alliances entre equipes	inconnu	haute	
0	game-engine (le moteur de partie)	11	game-engine-soft-ceilings-component	1	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	12	game-engine-campaign-timer-component	1	porte	FUN_1407ee764			traverse.go:885		aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	13	game-engine-disabled-kill-volume-flags-component	1	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	14	GameEngineComposerLetterboxComponent	1	non_porte						aucun	inconnu		aucune	niveau_jeu=2
0	game-engine (le moteur de partie)	15	managed-engine-timers-component	2	non_porte						aucun	inconnu		aucune	niveau_jeu=1
0	game-engine (le moteur de partie)	16	scenario-intro-component	1	non_porte						aucun	inconnu		aucune	niveau_jeu=4
0	game-engine (le moteur de partie)	17	matchflow-isplaying-flags-component	4	non_porte						aucun	inconnu		aucune	niveau_jeu=1
0	game-engine (le moteur de partie)	18	forge-engine-player-roles-component	1	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	19	forge-engine-total-budget-component	1	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	20	forge-engine-map-properties-component	1	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	21	forge-engine-forge-mode-component	1	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	22	forge-engine-monitor-noclip-component	1	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	23	forge-engine-ugc-status-component	1	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	24	forge-engine-baking-data-component	1	non_porte						aucun	inconnu		aucune	niveau_jeu=2
0	game-engine (le moteur de partie)	25	forge-engine-baking-data-component	2	non_porte						aucun	inconnu		aucune	
0	game-engine (le moteur de partie)	26	forge-engine-baking-data-component	2	non_porte						aucun	inconnu		aucune	
1	inconnu	0	game-engine-team-mapping-component	0	porte	FUN_140f58200			traverse.go:891		aucun	inconnu		aucune	niveau_jeu=1
1	inconnu	1	game-engine-shared-team-lives-component	1	porte	FUN_142f03600			traverse.go:353		aucun	inconnu		aucune	
1	inconnu	2	game-engine-current-state-component	1	porte	FUN_14116d1d0			traverse.go:481		aucun	inconnu		aucune	
1	inconnu	3	game-engine-game-finished-component	1	porte	FUN_142f035e0			traverse.go:484		aucun	inconnu		aucune	
1	inconnu	4	game-engine-current-round-component	1	porte	FUN_14116fc70			traverse.go:739		aucun	inconnu		aucune	
1	inconnu	5	game-engine-round-timer-component	1	porte	FUN_1407ee790			traverse.go:629		aucun	inconnu		aucune	
1	inconnu	6	game-engine-sudden-death-time-left-component	1	porte	FUN_14116d3a4			traverse.go:633		aucun	inconnu		aucune	
1	inconnu	7	game-engine-grace-period-time-left-component	1	porte	FUN_141165d24			traverse.go:722		aucun	inconnu		aucune	
1	inconnu	8	game-engine-round-condition-flags-component	1	porte	FUN_141132dc0			traverse.go:727		aucun	inconnu		aucune	
1	inconnu	9	game-engine-screen-sequence-component	1	porte	FUN_14101d118			traverse.go:638		aucun	inconnu		aucune	
1	inconnu	10	game-engine-alliance-component	1	porte	FUN_140a24968			traverse.go:730		aucun	inconnu		aucune	
1	inconnu	11	game-engine-soft-ceilings-component	1	non_porte						aucun	inconnu		aucune	
