# TABLE DE NOMMAGE `jpt!` -> nom / classe. Precalculee, versionnee, embarquee par go:embed.
# colonnes : tag<TAB>classe<TAB>statut<TAB>nom<TAB>detail<TAB>reserve
# statut AMBIGU = NE PAS PUBLIER (l entree `gggl` retenue serait un minimum arbitraire).
# statut SOUS_RESERVE = classe sure, nom propre non garanti (cas 69fd30b9, RE_LOG 7ter.50 (3)5).
# date=2026-07-26 lignes=468
00000024	DEGAT_GLOBAL	VALIDE		DEGAT GLOBAL (glda/matg : chute, environnement) [effet glda 003c76f9 #1/9]	
00000025	DEGAT_GLOBAL	VALIDE		DEGAT GLOBAL (glda/matg : chute, environnement) [effet glda 003c76f9 #2/9]	
00000026	DEGAT_GLOBAL	VALIDE		DEGAT GLOBAL (glda/matg : chute, environnement) [effet glda 003c76f9 #3/9]	
00000027	DEGAT_GLOBAL	VALIDE		DEGAT GLOBAL (glda/matg : chute, environnement) [effet glda 003c76f9 #5/9]	
00000028	DEGAT_GLOBAL	VALIDE		DEGAT GLOBAL (glda/matg : chute, environnement) [effet glda 003c76f9 #7/9]	
00000029	DEGAT_GLOBAL	VALIDE		DEGAT GLOBAL (glda/matg : chute, environnement) [effet glda 003c76f9 #8/9]	
0000005f	INCONNU	INCONNU		[effet matg 000024a6]	
000026ae	INCONNU	INCONNU		[effet char 357f5dfa]	
000027cc	MELEE	VALIDE		MELEE (effet partage par 12 weap) [effet weap 000025ad #0/3]	effet partage par tout l arsenal : c est la MELEE, pas une arme particuliere
000027cd	MELEE	VALIDE		MELEE (effet partage par 65 weap) [effet weap 6ed50061 #1/2]	effet partage par tout l arsenal : c est la MELEE, pas une arme particuliere
000027ce	ARME	SOUS_RESERVE	Energy Sword / Infected Energy Sword	[effet weap 000025ad #2/3]	classe sure, nom propre NON garanti : un nom precis peut designer une autre arme de la meme classe (RE_LOG 7ter.50 (3)5, cas 69fd30b9)
000027d8	OBJET_EXPLOSIF	VALIDE		OBJET EXPLOSIF PORTE (hlmt 8abc1ff6, etat de degat 0/1, 2 weap, classe shield) [effet hlmt 000027c8]	la flaveur de banque est le TYPE D ENERGIE de l explosion, pas l identite de l objet ni le declencheur (RE_LOG 7ter.51 (4) leve par 7ter.57)
00002805	INCONNU	INCONNU		[effet bipd 058c3b04 #0/4]	
00002806	INCONNU	INCONNU		[effet bipd 058c3b04 #1/4]	
00002808	INCONNU	INCONNU		[effet bipd 058c3b04 #3/4]	
0000280a	INCONNU	INCONNU		[effet weap 6ed50061 #0/2]	
00002b4f	INCONNU	INCONNU		[effet bipd 058c3b04 #2/4]	
00003c35	VEHICULE	VALIDE		ARME DE VEHICULE (vehi fe32c0f4, classe fixed) [effet hlmt 045397ad]	
00003d2f	INCONNU	INCONNU		[effet weap 0bf807fe #2/3]	
00004127	ARME	SOUS_RESERVE	Mythic Sandwich / Sandwich	[effet hlmt 0000411b]	classe sure, nom propre NON garanti : un nom precis peut designer une autre arme de la meme classe (RE_LOG 7ter.50 (3)5, cas 69fd30b9)
00004292	MELEE	VALIDE		MELEE (effet partage par 15 weap) [effet hlmt 6f100dfd, PARTAGE par 2 porteurs]	effet partage par tout l arsenal : c est la MELEE, pas une arme particuliere
000044d3	ARME	SOUS_RESERVE	Energy Sword / Infected Energy Sword	[effet weme 20255d44 #2/6]	classe sure, nom propre NON garanti : un nom precis peut designer une autre arme de la meme classe (RE_LOG 7ter.50 (3)5, cas 69fd30b9)
000044d4	ARME	SOUS_RESERVE	Energy Sword / Infected Energy Sword	[effet weme 20255d44 #4/6]	classe sure, nom propre NON garanti : un nom precis peut designer une autre arme de la meme classe (RE_LOG 7ter.50 (3)5, cas 69fd30b9)
0000563f	VEHICULE	VALIDE		ARME DE VEHICULE (vehi 0000515c +2, sb_006_chm_ge_weaanim_plasmaturret / sb_010_tur_cv_plasmacannon / sb_006_chm_ge_weaanim_plasmaturret / sb_010_tur_cv_plasmacannon / sb_010_wea_cv_plasmapistol, classe turret) [effet proj 00005631, PARTAGE par 5 porteurs]	
