type_hint	medal_type	medal_name	occurrences
50	26	Killjoy	2488
50	36	Stopped Short	77
50	37	Flag Joust	5
50	62	Spotter	99
50	63	Treasure Hunter	3
50	64	Saboteur	42
50	65	Wingman	325
50	66	Wheelman	26
50	67	Gunner	33
50	68	Driver	69
50	69	Pilot	75
50	70	Tanker	122
50	71	Rifleman	1153
50	72	Bomber	528
50	73	Grenadier	67
50	74	Boxer	486
50	75	Warrior	499
50	76	Gunslinger	784
50	77	Scattergunner	67
50	78	Sharpshooter	409
50	79	Marksman	1147
50	80	Heavy	24
50	81	Bodyguard	31
50	82	Back Smack	1611
50	87	Dogfight	99
50	88	Harpoon	273
50	91	Odin's Raven	635
50	97	Skyjack	157
50	98	Stick	739
50	101	Kong	530
50	105	Reversal	2299
50	108	Snipe	2345
50	117	Guardian Angel	655
50	120	Chain Reaction	32
50	126	Flyin' High	10
50	127	From the Grave	1799
50	131	Last Shot	689
50	133	Mount Up	35
50	135	Quick Draw	303
50	139	Reclaimer	38
50	142	Special Delivery	9
50	151	Always Rotating	66
50	156	Splatter	630
50	157	Clash of Kings	8
50	160	Watch the Throne	10
50	165	Breacher	203
51	178	Hang Up	2
52	179	Call Blocked	3
100	0	Double Kill	7871
100	9	Killing Spree	2842
100	38	Goal Line Stand	50
100	85	Bulltrue	188
100	86	Cluster Luck	105
100	89	Mind the Gap	55
100	92	Pancake	9
100	96	Rideshare	26
100	99	Tag & Bag	76
100	100	Whiplash	583
100	104	Windshield Wiper	145
100	106	Hail Mary	154
100	107	Nade Shot	23
100	109	Perfect	1499
100	110	Bank Shot	304
100	111	Fire & Forget	129
100	112	Ballista	212
100	113	Pull	40
100	114	No Scope	1552
100	119	Death Race	5
100	128	From the Void	1
100	129	Grapple-jack	161
100	130	Hold This	4
100	132	Lawnmower	2
100	134	Off the Rack	350
100	137	Pineapple Express	2
100	138	Ramming Speed	56
100	140	Shot Caller	825
100	141	Yard Sale	2218
100	146	Fumble	9
100	150	Big Deal	1
100	152	Hill Guardian	43
100	153	Clock Stop	21
100	166	Mounted & Loaded	15
100	168	Counter-snipe	247
100	174	Driving Spree	16
101	154	Secure Line	2
101	180	Clear Reception	180
150	1	Triple Kill	866
150	10	Killing Frenzy	268
150	31	Flawless Victory	16
150	32	Steaktacular	509
150	84	Boom Block	113
150	95	Return to Sender	11
150	102	Autopilot Engaged	86
150	103	Sneak King	43
150	115	Achilles Spine	29
150	116	Grand Slam	127
150	118	Interlinked	5
150	121	360	289
150	122	Combat Evolved	1
150	123	Deadly Catch	4
150	143	Street Sweeper	1
150	148	Straight Balling	2
150	158	Contract Killer	1
150	162	All That Juice	1
150	175	Death Cabbie	1
150	177	Blind Fire	18
200	13	Perfection	2
200	44	Extermination	22
200	90	Ninja	61
200	93	Quigley	4
200	94	Remote Detonation	15
200	125	Fastball	5
205	11	Running Riot	54
210	12	Rampage	18
220	2	Overkill	138
220	27	Nightmare	8
225	3	Killtacular	47
230	4	Killtrocity	12
230	28	Boogeyman	7
235	5	Killamanjaro	7
240	6	Killtastrophe	4
240	29	Grim Reaper	7
245	7	Killpocalypse	1
250	30	Demon	5
