carte;volumeIndex;string_id;nom_conception;en;fr;source;tronque;nom_brut;a_forme;x;y;z
academy_tutorial;53;0x79114C5C;house;House;Maison;jeu;non;named location house;oui;23.7;39.0;2.0
academy_tutorial;54;0x79114C5C;house;House;Maison;jeu;non;named location house;non;23.6;31.8;1.5
academy_tutorial;55;0xAA6C8944;house elbow;House Elbow;Coude de maison;jeu;non;named location house elbow;oui;22.8;27.8;1.1
academy_tutorial;56;0xEDF5FC09;storage;Storage;Réserve;jeu;non;named location storage;oui;27.25;27.6;1.7
academy_tutorial;57;0x57A9E8DD;yard;Yard;Cour;jeu;non;named location yard;oui;15.4;26.2;0.9
academy_tutorial;58;0xF1249B80;green bend;Green Bend;Virage vert;jeu;non;named location green bend;oui;16.6;17.5;0.3
academy_tutorial;59;0xE3561DA4;green building;Green Building;Bâtiment vert;jeu;non;named location green building;oui;13.469;21.187;-0.1
academy_tutorial;60;0xE3561DA4;green building;Green Building;Bâtiment vert;jeu;non;named location green building;oui;11.0;21.7;1.0
academy_tutorial;61;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;oui;1.5;24.9;2.009
academy_tutorial;62;0x4C2A0485;canal;Canal;Canal;jeu;non;named location canal;oui;0.723;22.6;0.7
academy_tutorial;63;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;oui;-5.7;30.2;1.9
academy_tutorial;64;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;oui;-5.7;30.2;4.3
academy_tutorial;65;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;oui;-8.9;30.2;4.3
academy_tutorial;66;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;oui;-6.8;26.5;3.2
academy_tutorial;67;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;non;-5.361;27.0;3.014
academy_tutorial;68;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;non;-4.767;26.8;5.867
academy_tutorial;69;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;non;-8.417;28.88;4.07
academy_tutorial;70;0x113CEB4E;brutes;Brutes;Brutes;jeu;non;named location brutes;oui;-1.3;40.8;1.3
academy_tutorial;71;0x7FCFB093;tunnel;Tunnel;Tunnel;jeu;non;named location tunnel;oui;7.0;34.6;-0.1
academy_tutorial;72;0xE8963B1D;hallway;Hallway;Couloir;jeu;non;named location hallway;oui;7.8;32.1;2.5
academy_tutorial;73;0x0271869D;turbine;Turbine;Turbine;jeu;non;named location turbine;oui;7.2;46.6;1.2
academy_tutorial;74;0xD5EC0B05;platform;Platform;Plateforme;jeu;non;named location platform;oui;3.3;38.3;2.0
academy_tutorial;75;0x979F39E1;grad board;Grad Board;Tableau grad;jeu;non;named location grad board;oui;17.2;42.3;0.5
academy_tutorial;76;0x0A99F6A7;house window;House Window;Fenêtre de maison;jeu;non;named location house window;oui;20.5;46.1;1.7
academy_tutorial;77;0xFA62B65D;overlook;Overlook;Promontoire;jeu;non;named location overlook;oui;15.3;38.1;2.4
academy_tutorial;78;0x57A9E8DD;yard;Yard;Cour;jeu;non;named location yard;oui;6.1;26.1;1.1
academy_tutorial;79;0x4C2A0485;canal;Canal;Canal;jeu;non;named location canal;oui;-3.6;23.2;0.1
academy_tutorial;80;0x4C2A0485;canal;Canal;Canal;jeu;non;named location canal;oui;-8.9;33.1;1.6
academy_tutorial;81;0x79114C5C;house;House;Maison;jeu;non;named location house;oui;21.9;42.3;0.7
academy_tutorial;82;0x7FCFB093;tunnel;Tunnel;Tunnel;jeu;non;named location tunnel;oui;15.7;32.7;0.2
academy_tutorial;83;0x7FCFB093;tunnel;Tunnel;Tunnel;jeu;non;named location tunnel;oui;4.2;34.3;-0.2
academy_tutorial;84;0xE8963B1D;hallway;Hallway;Couloir;jeu;non;named location hallway;oui;6.8;33.706;1.9
academy_tutorial;85;0xD5EC0B05;platform;Platform;Plateforme;jeu;non;named location platform;oui;3.1;34.4;2.4
academy_tutorial;86;0xD5EC0B05;platform;Platform;Plateforme;jeu;non;named location platform;non;2.95;35.999;1.8
academy_tutorial;87;0xEEBAD262;tower;Tower;Tour;jeu;non;named location tower;oui;-3.0;30.2;2.6
academy_tutorial;88;0xCECE31C8;nest;Nest;Nid;jeu;non;named location nest;oui;2.0;18.5;2.5
academy_tutorial;89;0xCECE31C8;nest;Nest;Nid;jeu;non;named location nest;oui;3.6;19.9;2.8
academy_tutorial;90;0xCECE31C8;nest;Nest;Nid;jeu;non;named location nest;non;2.3;20.2;3.45
academy_tutorial;91;0xCECE31C8;nest;Nest;Nid;jeu;non;named location nest;non;4.0;18.5;3.5
academy_tutorial;92;0xCECE31C8;nest;Nest;Nid;jeu;non;named location nest;oui;6.2;17.4;1.0
