string_id;en;fr
0x006C9BEF;Wall Base;Socle mural
0x01633487;Lakeside;Bord du lac
0x0225EB16;Balcony;Balcon
0x0271869D;Turbine;Turbine
0x02A40CEA;Relic;Relique
0x02A5CFDB;West Platform;Plateforme ouest
0x02B26622;Eagle Base;Base de l'aigle
0x02F9C367;Refinery Paddock;Enclos de la raffinerie
0x033EC3C2;Gold Attic;Grenier d’or
0x0350A56A;Commercial Alley;Rue commerçante
0x04469A6A;Hex Center Road;Route centrale hexagonale
0x046AD09D;Spiral;Spirale
0x048023C7;North Trench;Tranchée nord
0x049DD79F;High Path;Haut chemin
0x049E1DE6;Atrium;Atrium
0x05BE479F;Dried Jumps;Sauts secs
0x05F8AE89;Hex Narrow Passage;Passage hexagonal étroit
0x0629263F;Tower 1;Tour 1
0x0673B399;Overpass;Passerelle aérienne
0x06A2D795;Turbine Pit;Fosse à turbine
0x06A8D5BE;Front Cliff Base;Base avant de la falaise
0x06E9E8FE;Elevator;Ascenseur
0x070A6CEE;Rock Pocket;Poche de rochers
0x0783F945;Sneaky;Coupe-gorge
0x078DA096;Cooling;Refroidissement
0x07AFE0ED;Eagle Sneaky;Coupe-gorge Eagle
0x07BD6222;Tower Basement;Sous-sol de la tour
0x07FB36B7;North Rampart;Rempart nord
0x08054638;Officer George's Desk;Bureau de l'officier George
0x0814B63D;Middle Ramp;Rampe centrale
0x081614A2;Overgrown Rat Tunnel;Tunnel à rats luxuriant
0x081DC1A5;West Balcony;Balcon ouest
0x08258326;Red Street;Rue rouge
0x083A62CC;Small Rock;Petit rocher
0x0874D317;Basin;Bassin
0x0923953C;Camo Platform;Plateforme camouflée
0x09401C2C;Center Passage;Passage central
0x095E2E95;Window;Fenêtre
0x09CCD03B;North Bridge;Pont nord
0x09E88BC3;Bottom Catwalk;Passerelle inférieure
0x09F5EB1A;High Cargo;Cargaison en hauteur
0x0A16C501;Cobalt Base;Socle de cobalt
0x0A1EAD79;Thats Pretty Neat!;C’est plutôt chouette !
0x0A9699B9;Cove;Anse
0x0A99F6A7;House Window;Fenêtre de maison
0x0AD751E2;Bridge;Pont
0x0B361E11;Garage;Garage
0x0BBED0AE;Overgrown Rat Hole;Trou de rat luxuriant
0x0C39A044;Hex Archway Road;Route de la voûte hexagonale
0x0C9E460F;South Yard;Cour sud
0x0CDE6FAE;Cliffs;Falaises
0x0D5F5C5C;Restaurant;Restaurant
0x0D855374;Viewpoint;Point de vue
0x0E2DE875;Cobra Basement;Sous-sol Cobra
0x0E3A56CF;Chasm;Précipice
0x0E62A3B1;Street;Rue
0x0E8B9E88;Eagle Ramp;Rampe Eagle
0x0E9E1B5C;Camo Maintenance;Maintenance camouflée
0x0EDD82E2;Knoll;Butte
0x0F091E4D;The Pit;La fosse
0x0F1B9205;West Nest;Nid ouest
0x0F3725F4;Jail;Prison
0x0F4EC82B;Crawl Space;Espace étroit
0x0FA942DB;Rock Vault;Coffre rocheux
0x0FD8EE97;Loading Docks;Quais de chargement
0x0FEBAB2B;West Outside;Extérieur ouest
0x1006DAC3;Mosh Pit;Pogo
0x1044F489;Sandwich;Sandwich
0x107E0247;Bravo;Bravo
0x10858A8E;Low Temple;Bas temple
0x10BF381F;Laundry;Blanchisserie
0x10DD42BC;South Closet;Coin sud
0x113CEB4E;Brutes;Brutes
0x11CC5221;East Base;Base est
0x1238C4A1;Loop;Bretelle
0x12E4BC12;Yellow Courtyard;Grande cour jaune
0x12F2E5CF;High Track;Voie élevée
0x1316FB49;Juliet;Juliet
0x133A909F;Maintenance Elbow Stairs;Coude d'escalier de maintenance
0x1371697A;Under Cat Walk;Sous la passerelle
0x13722847;Eagle Street;Rue Eagle
0x13B6FC64;Red Platform;Plateforme rouge
0x14133382;Dried Bat Ledge;Corniche de chauve-souris sèche
0x1421A36F;Tower Stairs;Escaliers de la tour
0x1421DD7B;Cave Pit;Fosse de la grotte
0x14911CF4;East Nest;Nid est
0x149A71B1;Overgrown Sneaky;Coupe-gorge luxuriant
0x1576F2F5;Silo Ledge;Corniche de silo
0x158CEE1B;Rock Switchback;Route sinueuse et rocheuse
0x1596828C;Dried Mid;Milieu sec
0x15B11A74;Stairs;Escaliers
0x1689A252;Picnic;Pique-nique
0x1711A2F9;Cobalt Bridge;Pont de cobalt
0x17521CD9;East Junction;Jonction est
0x177AB986;West Courtyard;Grande cour ouest
0x17A0BD92;Sanctuary;Sanctuaire
0x187FD8CC;East Sneaky;Coupe-gorge est
0x18D54407;Gazebo;Kiosque
0x18DC0DD8;Vat;Cuve
0x197747D8;Camo Nest;Nid camouflé
0x19A9480E;Sandwich House;Maison à sandwich
0x19E151C2;Bunker Nest;Nid du bunker
0x1A8F95F6;Station Square;Place du poste de police
0x1AED6AD6;YEEEHAAAAAAAAAAAW;OUUUAIIIIIIIIIIIS
0x1B0016D9;Cobalt Back Room;Arrière-salle de cobalt
0x1B5CB39D;Mythic;Mythique
0x1B8148DF;Worm Hole;Trou de ver
0x1C893F2D;Low Track;Voie basse
0x1DA8BA74;Canyon Base;Base du canyon
0x1DF08620;Switch Back;Échangeur arrière
0x1EF5EDA0;Radiator;Radiateur
0x1EFDB643;North Track;Piste nord
0x1F369F86;Tree House;Cabane
0x1FBEDC13;Eagle Tunnel;Tunnel Eagle
0x1FD9B22A;Rock Overlook;Promontoire rocheux
0x2065625E;Middle;Centre
0x208B86F0;Power Core;Noyau de puissance
0x208BC082;West Landing;Parvis ouest
0x20E36662;Lift;Monte-charge
0x20E4AD7E;Slide;Glissière
0x21243E47;West Bunker;Bunker ouest
0x219C937A;Old Town Bar;Bar de vieille ville
0x21A876CC;South Cave;Grotte sud
0x21C1A455;Communications;Communications
0x21D96A97;Garbage Chute;Vide-ordures
0x21EAEBC6;Small Rocks;Petits rochers
0x223FC514;Station;Station
0x226282C3;Maintenance;Maintenance
0x22908E62;Ramp;Rampe
0x23329AE1;Blamite Ledge;Corniche de blamite
0x23855809;Bunker;Bunker
0x238E7993;Camo Flank;Flanc camouflé
0x239D5F78;Launch Pad;Rampe de lancement
0x24221F2D;Energy Bridge;Pont énergétique
0x24473E5A;Armory;Armurerie
0x2488C0FF;East Cave;Grotte est
0x250DD42E;Pump;Pompe
0x25181F95;Sandwich Altar;Autel sandwich
0x25F35196;Turbine Blast Deck;Pont d'explosion de la turbine
0x2694B015;Radar Shipping;Aire de chargement du radar
0x26EC4E34;Green Tunnel;Tunnel vert
0x27804B73;Pipe Ramp;Rampe incurvée
0x2780B4BD;Operations Tower;Tour des opérations
0x28D774FE;Red Bend;Virage rouge
0x28F6351D;Cobra Tower;Tour Cobra
0x2A574A23;Overhang;Avancée
0x2AF36E94;Center Rock Path;Chemin rocheux central
0x2B1C162F;Crack;Crevasse
0x2B60FFB0;Overshield Closet;Placard blindé
0x2C0FE0EA;Sandwich Idol;Idole sandwich
0x2C126426;Cliff Base Interior;Intérieur de la base de la falaise
0x2C33B220;West Trench;Tranchée ouest
0x2C4E9524;Gold Base;Base d’or
0x2D6AACDE;South Edge;Côté sud
0x2E3AFC0F;North Alley;Allée nord
0x2E448683;Refinery Backroads;Petites routes de la raffinerie
0x2E6D67D9;Red Courtyard;Grande cour rouge
0x2ED63696;Bunker Platform;Plateforme du bunker
0x2F1980FA;Turbine Base;Base de turbine
0x2F25D8C1;Cobra Sneaky;Coupe-gorge Cobra
0x2F632C53;Pit;Fosse
0x2F7ED9F7;East Flight Deck;Poste de pilotage est
0x2FA84D8B;South Platform;Plateforme sud
0x2FBFAAE3;Rail;Rail
0x3047ADB9;South Landing;Parvis sud
0x305CD04A;Overgrown Flank;Flanc luxuriant
0x30839EF0;Overgrown Jumps;Sauts luxuriants
0x30BD170F;South Tunnel;Tunnel sud
0x31520A67;Station Inside;Poste de police (intérieur)
0x317190AD;South Catwalk;Passerelle sud
0x318BBABE;Overgrown Street;Rue luxuriante
0x31D8461B;Woods;Bois
0x321E1059;Overgrown Landing;Ponton luxuriant
0x327260B6;West Gate;Porte ouest
0x32B1168C;Terminal;Terminal
0x32FC8386;Crates;Caisses
0x33598517;Shelter;Abri
0x338C7469;West Base;Base ouest
0x352C506F;South Tower;Tour sud
0x352D4955;Cobalt Attic;Grenier de cobalt
0x355BA48C;Enclave;Enclave
0x35CD21C8;Charlie;Charlie
0x35F87BEA;Antenna;Antenne
0x3622EBA0;Sandwiches;Sandwichs
0x362481A3;Pipes;Tuyaux
0x364C0B6D;Down Hill;Pente
0x36A0EFAC;Dried Rat Hole;Trou de rat sec
0x36E6A152;Yellow Base;Base jaune
0x379FDD28;Elevator 2;Ascenseur 2
0x3A223989;Front Canyon Base;Base avant du canyon
0x3A39C9F3;High Power;Haute tension
0x3A4981D6;Low Power;Énergie basse
0x3A4CFF6B;Dried Back Nest;Nid arrière sec
0x3A4F3739;East Deadlands;Terres mortes de l’Est
0x3A832995;Overgrown Platform;Plateforme luxuriante
0x3B67FC9B;Canyon Base;Base du canyon
0x3BB26A39;Overshield Attic;Grenier blindé
0x3C322F12;Echo;Echo
0x3C7CBAB9;North Landing;Parvis nord
0x3C7D8520;West Bridge;Pont ouest
0x3CF86E98;Horseshoe;Fer à cheval
0x3D5DCDD9;Low Yard;Dépôt en contrebas
0x3DC4B9C3;West Flight Deck;Poste de pilotage ouest
0x3DF61E10;Hollow Tree;Arbre creux
0x3EA9803B;East Edge;Côté est
0x3EF694F5;West Lookout;Guet ouest
0x3F16A5B4;Den;Tanière
0x3F84E256;West Ramp;Rampe ouest
0x3FCBA21B;Grand Hall;Grande salle
0x4079DDCE;Flank Steak;Flanc
0x408F7EDD;Arch;Arche
0x413378DA;North Closet;Coin nord
0x4154FCBB;East Bend;Virage est
0x416E3F65;Overshield Pit;Fosse blindée
0x41CC618B;East Stairs;Escaliers est
0x41E33994;Rock Narrow Passage;Passage étroit et rocheux
0x424DA34A;Bog;Marais
0x427D2413;Red Tunnel;Tunnel rouge
0x42BFAC07;East Bunker;Bunker est
0x43CBF363;Loading Dock;Quai de chargement
0x43CC3D4F;Rock Forest;Forêt de rochers
0x44596CF7;Fountain;Fontaine
0x445A1D49;Overgrown Courtyard;Cour luxuriante
0x44DF1726;Under Bridge;Sous le pont
0x45156CEB;Switch;Interrupteur
0x4518DDBE;Hex Basement;Sous-sol hexagonal
0x457FCAE6;Air Ventilation Shaft;Puits de ventilation
0x4696B518;Basement;Sous-sol
0x46A83F5C;Gulch;Ravin
0x4709F2A6;Overwatch;Surveillance
0x478BB1C3;Red Basement;Sous-sol rouge
0x47923640;Long Stairs;Grands escaliers
0x47FFD805;West Stairs;Escaliers ouest
0x4865C8B4;Hex Power Node;Nœud d'alimentation hexagonal
0x48ACE7C8;Yellow Bend;Virage jaune
0x48CCF1C4;Launch Bay;Aire de décollage
0x4928CB0B;Hex Landing;Aire d'atterrissage hexagonale
0x499D224C;Hill;Colline
0x4A09D443;Silos;Silos
0x4A108CBD;Dried Stage;Scène sèche
0x4A40553A;Deck;Pont
0x4AC048A2;Blue Courtyard;Grande cour bleue
0x4B024263;Pool;Bassin
0x4B6B8B87;Overshield Rampart;Rempart blindé
0x4C2A0485;Canal;Canal
0x4CD14822;Spawn;Apparition
0x4E9E5E09;River;Rivière
0x4EBBB218;Camo Rampart;Rempart camouflé
0x4F41C8C3;Overgrown Base;Base luxuriante
0x4F476193;Transmat;Téléporteur
0x4F5B8FC2;Gold Bridge;Pont d’or
0x4F9BDABE;Cave;Grotte
0x4FCA2784;Outlook;Poste d'observation
0x50C1E0FD;Canyon Wall;Paroi du canyon
0x50DD86E1;Dried Landing;Ponton sec
0x5117486F;Main Street;Grande rue
0x512DCA7A;Monolith;Monolithe
0x5131A9CB;Data;Centre de données
0x5155806D;East Trench;Tranchée est
0x5281EFCF;East Lookout;Guet est
0x52AA091A;Bottom Mid;Milieu bas
0x52EF4752;Alley;Allée
0x5328996B;Lookout;Poste de guet
0x53650488;Arc Street;Rue courbée
0x53853465;Cave;Grotte
0x5390E36B;Creek;Crique
0x53A090AE;Landing;Parvis
0x53EAC345;Island;Île
0x548F1484;Camo Short Bridge;Petit pont camouflé
0x54F76157;West Alley;Allée ouest
0x555CA63B;Top Mid;Milieu haut
0x55ED0E33;Foxtrot;Foxtrot
0x568259BC;Orange Pipes;Tuyaux orange
0x56CABEA8;Perch;Perchoir
0x574282C2;North Courtyard;Grande cour nord
0x578DB990;No Power;Sans énergie
0x57A9E8DD;Yard;Cour
0x57C163A2;Hex Overlook;Promontoire hexagonal
0x5840CE3F;Under Bridge;Sous le pont
0x585348DB;Overshield Window;Fenêtre blindée
0x585D81D3;Blue Bend;Virage bleu
0x58F17AD2;Hatch;Sas
0x59E2B8E1;Side Line;Ligne latérale
0x59EEA68A;Flowers;Fleurs
0x5A03E08D;Control Room 2;Salle de contrôle 2
0x5A27F79B;Grotto;Cavité
0x5A74156B;Hex Vault Overlook;Promontoire du coffre hexagonal
0x5A93C1E7;Radar Control;Contrôle du radar
0x5AE925D2;Dock;Quai
0x5B67F54D;Overgrown Bottom Street;Rue du bas luxuriante
0x5BF429B3;Plank;Planche
0x5C437F4C;East Alley;Allée est
0x5C7AF9D4;North Catwalk;Passerelle nord
0x5C802FFE;Overshield Ramp;Rampe blindée
0x5CDDCB28;Center Hex Path;Chemin hexagonal central
0x5D4596F0;Three;Trois
0x5DC6CBAD;North Tower;Tour nord
0x5E42CF85;Waterfront;Rivage
0x5E5087E6;West Rampart;Rempart ouest
0x5E68B5E8;Dunes;Dunes
0x5E710142;Yep, this is death...;Oui, c'est la mort...
0x5E8B13A0;Secret Tunnel;Tunnel secret
0x5F0685BE;Spiral Shortcut;Raccourci en spirale
0x5F7FDD25;East Rampart;Rempart est
0x6021CEBA;Rock Landing;Aire d'atterrissage rocheuse
0x60B29C4D;East Sign;Panneau est
0x60F0FB60;North Tree House;Cabane nord
0x610ADEC4;Logging Camp;Camp de bûcherons
0x610D3B49;Hello There!;Salut, tout le monde !
0x61CAC52B;East Track;Piste est
0x61F119C5;South Trench;Tranchée sud
0x62247A03;Spine;Squelette
0x624531A7;Beacon;Balise
0x6247C30A;Blue Ramp;Rampe bleue
0x62982FF2;Commercial District;Quartier commerçant
0x62CBB7F3;Camo Staging;Relais camouflé
0x630F9736;East Tower;Tour est
0x63B63E21;Eagle Platform;Plateforme Eagle
0x63D486F1;North Bend;Virage nord
